"region_final","test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","test_roll","diff"
"Eastern Asia",132,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-10,2.39999999999996,2.39999999999975,2.40000000000012,1.20000000000001,1.20000000000014,1.20000000000007,0.199999999999866,0.0100000000000929,0.390000000000038,0.200000000000047,0.0100000000000174,0.390000000000038,166.4,7
"Eastern Asia",149,2,2,2,1,1,1,0,0,0,0,0,0,2018-12-17,9.19999999999996,9.19999999999975,9.20000000000012,3.20000000000001,3.20000000000014,3.20000000000007,0.499999999999866,0.0250000000000929,0.975000000000038,0.500000000000047,0.0250000000000174,0.975000000000038,184.2,7
"Eastern Asia",136,9,9,9,1,1,1,0,0,0,0,0,0,2018-12-24,38.4,38.3999999999997,38.4000000000001,3.40000000000001,3.40000000000015,3.40000000000007,0.299999999999866,0.0150000000000929,0.585000000000038,0.300000000000047,0.0150000000000174,0.585000000000038,194.2,7
"Eastern Asia",236,34,34,34,10,10,10,1.5,0.075,2.925,1.5,0.075,2.925,2018-12-31,87.6,87.5999999999998,87.6000000000001,4.40000000000001,4.40000000000015,4.40000000000007,0.299999999999866,0.0150000000000929,0.585000000000038,0.300000000000047,0.0150000000000174,0.585000000000038,258.8,7
"Eastern Asia",318,147,147,147,5,5,5,0,0,0,0,0,0,2019-01-07,104.2,104.2,104.2,6.80000000000001,6.80000000000014,6.80000000000007,0.299999999999866,0.0150000000000929,0.585000000000038,0.300000000000047,0.0150000000000174,0.585000000000038,291.8,7
"Eastern Asia",455,246,246,246,5,5,5,0,0,0,0,0,0,2019-01-14,113.8,113.8,113.8,15.8,15.8000000000001,15.8000000000001,2.19999999999987,0.110000000000093,4.29000000000004,2.20000000000005,0.110000000000017,4.29000000000004,329.6,7
"Eastern Asia",314,85,85,85,13,13,13,0,0,0,0,0,0,2019-01-21,108.2,108.2,108.2,14,14.0000000000001,14.0000000000001,1.89999999999987,0.0950000000000929,3.70500000000004,1.90000000000005,0.0950000000000174,3.70500000000004,285.6,7
"Eastern Asia",325,57,57,57,46,46,46,9.5,0.475,18.525,9.5,0.475,18.525,2019-01-28,81.3999999999999,81.3999999999997,81.4000000000001,14.2,14.2000000000001,14.2000000000001,1.89999999999987,0.0950000000000929,3.70500000000004,1.90000000000005,0.0950000000000174,3.70500000000004,252.8,7
"Eastern Asia",16,6,6,6,1,1,1,0,0,0,0,0,0,2019-02-04,34.4,34.3999999999997,34.4000000000001,16,16.0000000000001,16.0000000000001,1.89999999999987,0.0950000000000929,3.70500000000004,1.90000000000005,0.0950000000000174,3.70500000000004,193.2,7
"Eastern Asia",154,13,13,13,6,6,6,0,0,0,0,0,0,2019-02-11,21,20.9999999999997,21.0000000000001,17.8,17.8000000000001,17.8000000000001,3.19999999999987,0.160000000000093,6.24000000000004,3.20000000000005,0.160000000000017,6.24000000000004,183.2,7
