"test","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","date","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","test_roll","diff"
39664,676.9,569.187557435348,774.047228183858,167.1,69.9527718161411,274.812442564652,2010-01-04,NA,NA,NA,NA,NA,NA,NA,0
39454,984.801587301587,848.239757530106,1105.98864462099,226.198412698413,105.011355379015,362.760242469894,2010-01-11,NA,NA,NA,NA,NA,NA,NA,7
35795,1290.60165229885,1030.24538312531,1495.10612776651,289.398347701149,84.8938722334915,549.754616874692,2010-01-18,1110.70876822084,955.463987737369,1237.73474001704,219.691231779161,92.6652599829572,374.936012262633,36096.4,7
32842,1432,1288.76386826396,1526.89958322053,108,13.1004167794704,251.236131736047,2010-01-25,1162.67791295768,998.117119319602,1298.73872543532,246.122087042318,110.061274564684,410.6828806804,34251.8,7
32727,1169.24060150376,1040.88337233212,1286.63211629333,307.759398496241,190.367883706668,436.11662766788,2010-02-01,1078.8940660856,910.575317590056,1218.13432270591,245.505933914401,106.265677294089,413.824682409946,31941,7
30441,936.745723684211,782.453215346513,1079.06715527523,299.254276315789,156.932844724774,453.546784653487,2010-02-08,1004.1478640662,849.698102648873,1138.96244344609,252.452135933804,117.637556553906,406.901897351128,30673.6,7
27900,565.882352941176,410.530748882375,702.966630973961,223.117647058824,86.0333690260393,378.469251117624,2010-02-15,886.817094835427,713.647046823783,1047.73221531986,313.582905164573,152.667784680136,486.752953176217,29771.4,7
29458,916.870642201835,725.859308419396,1099.24673146742,324.129357798165,141.753268532577,515.140691580604,2010-02-22,859.535641201342,661.470120991289,1042.37765668609,329.864358798658,147.022343313906,527.929879008711,28622.8,7
28331,845.346153846154,608.508589138508,1070.74844258938,413.653846153846,188.251557410624,650.491410861492,2010-03-01,946.648129117562,741.310579670576,1136.6505728891,325.151870882439,135.149427110903,530.489420329423,27826.4,7
26984,1032.83333333333,779.998743169652,1259.85932312448,389.166666666667,162.140676875517,642.001256830348,2010-03-08,1059.43157722851,827.138412204528,1272.8647129604,347.968422771487,134.535287039602,580.261587795471,27258.8,7
26459,1372.30816326531,1181.65550874295,1550.43173629025,275.691836734694,97.5682637097573,466.344491257047,2010-03-15,1103.55268688338,850.990321819615,1336.29020092238,360.847313116616,128.109799077624,613.409678180384,25974,7
25062,1129.79959349593,839.669911552134,1384.03733133046,337.200406504065,82.9626686695344,627.330088447865,2010-03-22,1086.79678944749,799.354326522724,1349.00666324064,370.203210552514,107.993336759363,657.645673477275,24638.8,7
23034,1137.47619047619,845.118856494832,1416.37417127731,388.52380952381,109.625828722686,680.881143505168,2010-03-29,982.550122780821,650.893632034547,1294.05227483046,393.24987721918,81.7477251695433,724.906367965452,23106.2,7
21655,761.566666666667,350.328612654053,1134.33075418068,460.433333333333,87.669245819319,871.671387345947,2010-04-05,866.040871080139,516.99875676367,1193.46527894663,394.359128919861,66.9347210533676,743.401243236329,22105.6,7
19321,511.6,37.695270728767,985.087381073581,504.4,30.9126189264194,978.304729271233,2010-04-12,772.194047619048,428.998233385919,1098.62158472218,383.205952380952,56.7784152778163,726.401766614081,20886.4,7
21456,789.761904761904,512.181132388566,1047.49675687112,281.238095238095,23.5032431288789,558.818867611434,2010-04-19,638.255186335404,314.974936380767,945.515870302436,351.344813664596,44.0841296975637,674.625063619233,19897.2,7
18966,660.565476190476,399.667294663378,909.818860208223,281.434523809524,32.1811397917777,542.332705336622,2010-04-26,562.453930296756,287.400646087976,826.055549060872,293.546069703244,29.9444509391285,568.599353912024,19130.2,7
18088,467.781884057971,275.002371469071,650.845599178576,229.218115942029,46.1544008214233,421.997628530929,2010-05-03,481.148671497584,282.547674506073,668.286863225604,257.651328502415,70.5131367743964,456.252325493927,18851.2,7
17820,382.56038647343,212.457161190098,537.029147972857,171.43961352657,16.9708520271432,341.542838809902,2010-05-10,369.84967400385,207.038113203653,523.183099364355,222.95032599615,69.616900635645,385.761886796347,18150.8,7
17926,105.073706004141,13.4304128192512,196.243951897242,324.926293995859,233.756048102759,416.569587180749,2010-05-17,272.905877011369,139.228843207097,399.980336817191,198.294122988631,71.219663182809,331.971156792903,17652.2,7
17954,233.266917293233,134.633325876465,321.977937564878,107.733082706767,19.022062435122,206.366674123534,2010-05-24,221.068547818822,101.231113400106,330.605259698527,173.731452181178,64.1947403014734,293.568886599894,17416.2,7
16473,175.84649122807,60.6209446805984,293.805047472402,158.15350877193,40.1949525275977,273.379055319402,2010-05-31,177.27980385747,71.9989820179856,272.528391195759,158.72019614253,63.4716088042414,264.001017982014,17049.4,7
16908,208.595238095238,85.0137224341178,303.970213585254,106.404761904762,11.0297864147456,229.986277565882,2010-06-07,190.558395989975,83.2306089593064,286.595444150852,117.641604010025,21.6045558491476,224.969391040694,16750.4,7
15986,163.616666666667,66.2965042794953,246.644805459017,96.3833333333334,13.3551945409829,193.703495720505,2010-06-14,182.631203007519,69.9869700712621,283.871411663005,124.568796992481,23.3285883369947,237.213029928738,16691.8,7
