"test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","test_roll","diff"
39664,5506.57828917241,5487.57577444425,5518.07734835601,124.184972771581,112.890573078356,143.014772685177,2010-01-04,NA,NA,NA,NA,NA,NA,NA,0
39454,4175.84594685466,4149.78972775403,4190.31763927228,106.399771918218,93.2778552852996,131.735710675494,2010-01-11,NA,NA,NA,NA,NA,NA,NA,7
35795,3171.30378452809,3149.88285919026,3189.50491249927,107.352558024529,95.698618710889,129.864456301833,2010-01-18,3422.43642911909,3401.58560673112,3435.76325623841,109.161718029197,97.8376756732982,129.726877587829,36096.4,7
32842,2205.36874884873,2189.51633835615,2215.39446989197,111.354932021465,102.137427078315,126.569469515247,2010-01-25,2692.53598235481,2671.16899516295,2706.39974117889,105.143737085084,93.5061343109963,126.17383246694,34251.8,7
32727,2053.08537619154,2031.16333391089,2065.52191117252,96.516355410191,85.1839042136315,117.449978761393,2010-02-01,2177.25666368662,2156.32471086837,2192.02994537936,99.9504885752731,87.3638722157051,120.546319822242,31941,7
30441,1857.07605535104,1835.49271660344,1871.25977305843,104.095068051016,91.232866266846,125.249547080733,2010-02-08,1860.07705124352,1839.99634146247,1873.63563777254,96.9724665930657,84.5354242680533,116.388288297218,30673.6,7
27900,1599.44935351372,1575.56830628113,1618.46866027463,80.4335293691653,62.5665448088436,103.598147452005,2010-02-15,1720.23749164775,1699.30185947477,1735.37825982321,95.9360564189998,82.1273863598025,116.422390053955,29771.4,7
29458,1585.40572231257,1568.24101216076,1597.53337446516,92.4624481134917,81.5563789726301,109.074298676713,2010-02-22,1598.11630737839,1578.11398181593,1613.58918629207,92.3416562727729,78.3336662949147,112.168384753543,28622.8,7
28331,1506.17095086986,1486.04392841763,1524.10758014533,106.172881151135,90.0972375370615,126.739978298932,2010-03-01,1458.93159664592,1438.94241459684,1474.66935624459,85.4450408755508,71.1449512036957,105.287373394339,27826.4,7
26984,1442.47945484475,1425.22394561669,1456.57654351679,78.5443546790564,66.2153038891925,96.1799522593317,2010-03-08,1334.59806026228,1316.22420707554,1349.08099004007,87.125392291006,74.1120000501483,105.549860058276,27258.8,7
