year_month,region,climate,epoch,antigen_drift,inter_air_traffic,intra_air_traffic,total_air_traffic,persistence
2017-06,Africa,most-tropical,pre,0.212674375,0.723277796,0.809952964,0.777509332,0.50859591
2017-07,Oceania,most-tropical,pre,0.260628674,0.828414198,0.973531065,0.972482511,0.213475838
2017-07,South-eastern Asia,most-tropical,pre,0.194451324,0.774342884,0.952073195,0.904841345,0.183234905
2017-07,Europe,most-other,pre,0.211103906,0.867605384,0.928963624,0.920412341,0.08485986
2017-07,Southern Asia,most-tropical,pre,0.207334522,0.932160521,0.785294971,0.843878004,0.323158777
2017-07,Northern America,most-other,pre,0.22063375,0.95364025,0.876175113,0.89396829,0.195597625
2017-07,Japan/Korea,most-other,pre,0.205593915,0.779155222,0.955433369,0.918966597,0.121152082
2017-07,Russia,most-other,pre,0.194191034,0.857958072,0.572306712,0.744778067,0.100898743
2017-07,Western Asia,most-other,pre,0.192940358,0.846160589,0.920163833,0.906898588,0.102364788
2017-07,China,most-other,pre,0.204074775,0.830630445,0.817156621,0.848938211,0.218115332
2017-07,Southern America,most-tropical,pre,0.215175003,0.891129317,0.854252609,0.858862137,0.057931291
2017-07,Africa,most-tropical,pre,0.192224926,0.842977227,0.868300528,0.868164481,0.579825587
2017-08,Oceania,most-tropical,pre,0.260628674,0.795545811,0.956868839,0.951561646,0.241536081
2017-08,South-eastern Asia,most-tropical,pre,0.194451324,0.771886484,0.910255735,0.87366656,0.216843745
2017-08,Europe,most-other,pre,0.211103906,0.881955464,0.929674465,0.923895267,0.091643102
2017-08,Southern Asia,most-tropical,pre,0.207334522,0.91516787,0.783401657,0.8378947,0.314550198
2017-08,Northern America,most-other,pre,0.22063375,0.945970172,0.864477371,0.882577416,0.185438961
2017-08,Japan/Korea,most-other,pre,0.205593915,0.81553405,1,0.961844986,0.123132337
2017-08,Russia,most-other,pre,0.194191034,0.864387223,0.571194654,0.74575496,0.081131409
2017-08,Western Asia,most-other,pre,0.192940358,0.885195799,0.929388283,0.932150875,0.11478068
2017-08,China,most-other,pre,0.204074775,0.848788899,0.826885344,0.860279017,0.235638199
2017-08,Southern America,most-tropical,pre,0.215175003,0.866689794,0.844999071,0.84811648,0.074812106
2017-08,Africa,most-tropical,pre,0.192224926,0.846648179,0.872663623,0.872237367,0.593606949
2017-09,Oceania,most-tropical,pre,0.260628674,0.785311428,0.937697577,0.933802056,0.29108214
2017-09,South-eastern Asia,most-tropical,pre,0.194451324,0.717596898,0.885873367,0.841137083,0.241689777
2017-09,Europe,most-other,pre,0.211103906,0.817797394,0.911748078,0.896507353,0.121249871
2017-09,Southern Asia,most-tropical,pre,0.207334522,0.898577857,0.769785433,0.823148278,0.324643536
2017-09,Northern America,most-other,pre,0.22063375,0.865410557,0.762524581,0.781824575,0.192909919
2017-09,Japan/Korea,most-other,pre,0.205593915,0.754474143,0.928900524,0.892328974,0.142986664
2017-09,Russia,most-other,pre,0.194191034,0.794989405,0.528997245,0.689002887,0.096071861
2017-09,Western Asia,most-other,pre,0.192940358,0.818279823,0.873049876,0.868632994,0.138015838
2017-09,China,most-other,pre,0.204074775,0.768469577,0.777499144,0.804478599,0.189100769
2017-09,Southern America,most-tropical,pre,0.215175003,0.822094949,0.821041029,0.822117245,0.052959666
2017-09,Africa,most-tropical,pre,0.192224926,0.77015324,0.842307889,0.817784992,0.632701597
2017-10,Oceania,most-tropical,pre,0.215840749,0.83798752,0.967379088,0.969725563,0.317146959
2017-10,South-eastern Asia,most-tropical,pre,0.180702891,0.751560942,0.912361304,0.869683621,0.24343681
