year_month,region,climate,epoch,antigen_drift,npi_level,persistence,N_migration,inter_air_traffic,intra_air_traffic,total_air_traffic
2017-05,Northern America,most-other,pre,0.427473542,0,0.185339751,21.09865605,0.813362001,0.824387925,0.832104367
2017-05,Japan/Korea,most-other,pre,0.511121585,0,0.156815468,22.06161121,0.736693085,0.905860844,0.870538686
2017-05,Russia,most-other,pre,0.442723366,0,0.100479328,19.33052623,0.654851653,0.468055176,0.59509068
2017-05,Western Asia,most-other,pre,0.457573347,0,0.096670587,21.38640528,0.778152507,0.874121577,0.847942608
2017-05,China,most-other,pre,0.542156713,0,0.215483505,22.87241335,0.755902361,0.753163715,0.781012266
2017-05,Southern America,most-tropical,pre,0.492943057,0,0.104613849,19.24521509,0.804685614,0.818829411,0.818420713
2017-05,Africa,most-tropical,pre,0.497496716,0,0.467391418,20.49571417,0.714383208,0.853873961,0.795010466
2017-06,Oceania,most-tropical,pre,0.517019261,0,0.191100008,28.52057489,0.746510803,0.890488484,0.886957605
2017-06,South-eastern Asia,most-tropical,pre,0.500068238,0,0.19673948,23.71712473,0.711822627,0.895034686,0.84625279
2017-06,Europe,most-other,pre,0.414095016,0,0.108371226,21.93265377,0.767989084,0.891260889,0.869981124
2017-06,Southern Asia,most-tropical,pre,0.565544408,0,0.291352932,25.72271701,0.894839116,0.769700829,0.822083029
2017-06,Northern America,most-other,pre,0.427473542,0,0.198895704,21.35275198,0.874397013,0.850976356,0.86268476
2017-06,Japan/Korea,most-other,pre,0.511121585,0,0.136905265,22.57484671,0.722511134,0.880192455,0.848328564
2017-06,Russia,most-other,pre,0.442723366,0,0.096256798,19.31787054,0.787746874,0.536334821,0.6930898
2017-06,Western Asia,most-other,pre,0.457573347,0,0.114113365,21.50493465,0.765065594,0.846165247,0.827065212
2017-06,China,most-other,pre,0.542156713,0,0.211419295,24.64854547,0.754206728,0.74223932,0.771066709
2017-06,Southern America,most-tropical,pre,0.492943057,0,0.166255025,18.16445599,0.815809176,0.781475843,0.785751022
2017-06,Africa,most-tropical,pre,0.497496716,0,0.50859591,20.52243627,0.723277796,0.809952964,0.777509332
2017-07,Oceania,most-tropical,pre,0.465049825,0,0.213475838,30.07147965,0.828414198,0.973531065,0.972482511
2017-07,South-eastern Asia,most-tropical,pre,0.475677716,0,0.183234905,23.20985486,0.774342884,0.952073195,0.904841345
2017-07,Europe,most-other,pre,0.504122279,0,0.08485986,24.10928653,0.867605384,0.928963624,0.920412341
2017-07,Southern Asia,most-tropical,pre,0.482452298,0,0.323158777,25.12632997,0.932160521,0.785294971,0.843878004
2017-07,Northern America,most-other,pre,0.50011089,0,0.195597625,22.38899171,0.95364025,0.876175113,0.89396829
2017-07,Japan/Korea,most-other,pre,0.446569463,0,0.121152082,23.43564319,0.779155222,0.955433369,0.918966597
2017-07,Russia,most-other,pre,0.486413632,0,0.100898743,20.80339061,0.857958072,0.572306712,0.744778067
2017-07,Western Asia,most-other,pre,0.480870306,0,0.102364788,22.19581311,0.846160589,0.920163833,0.906898588
2017-07,China,most-other,pre,0.415094237,0,0.218115332,24.34766377,0.830630445,0.817156621,0.848938211
2017-07,Southern America,most-tropical,pre,0.434732677,0,0.057931291,19.08130151,0.891129317,0.854252609,0.858862137
2017-07,Africa,most-tropical,pre,0.409372012,0,0.579825587,20.4102833,0.842977227,0.868300528,0.868164481
2017-08,Oceania,most-tropical,pre,0.465049825,0,0.241536081,32.96983406,0.795545811,0.956868839,0.951561646
2017-08,South-eastern Asia,most-tropical,pre,0.475677716,0,0.216843745,25.18300134,0.771886484,0.910255735,0.87366656
2017-08,Europe,most-other,pre,0.504122279,0,0.091643102,28.27843794,0.881955464,0.929674465,0.923895267
2017-08,Southern Asia,most-tropical,pre,0.482452298,0,0.314550198,25.54101549,0.91516787,0.783401657,0.8378947
2017-08,Northern America,most-other,pre,0.50011089,0,0.185438961,25.36316548,0.945970172,0.864477371,0.882577416
2017-08,Japan/Korea,most-other,pre,0.446569463,0,0.123132337,24.46578716,0.81553405,1,0.961844986
2017-08,Russia,most-other,pre,0.486413632,0,0.081131409,21.86438994,0.864387223,0.571194654,0.74575496
2017-08,Western Asia,most-other,pre,0.480870306,0,0.11478068,23.21524031,0.885195799,0.929388283,0.932150875
2017-08,China,most-other,pre,0.415094237,0,0.235638199,23.14332321,0.848788899,0.826885344,0.860279017
2017-08,Southern America,most-tropical,pre,0.434732677,0,0.074812106,20.37181866,0.866689794,0.844999071,0.84811648
2017-08,Africa,most-tropical,pre,0.409372012,0,0.593606949,20.41911835,0.846648179,0.872663623,0.872237367
2017-09,Oceania,most-tropical,pre,0.465049825,0,0.29108214,30.52594642,0.785311428,0.937697577,0.933802056
2017-09,South-eastern Asia,most-tropical,pre,0.475677716,0,0.241689777,24.27056656,0.717596898,0.885873367,0.841137083
2017-09,Europe,most-other,pre,0.504122279,0,0.121249871,29.60706599,0.817797394,0.911748078,0.896507353
2017-09,Southern Asia,most-tropical,pre,0.482452298,0,0.324643536,24.18575508,0.898577857,0.769785433,0.823148278
2017-09,Northern America,most-other,pre,0.50011089,0,0.192909919,25.53621649,0.865410557,0.762524581,0.781824575
2017-09,Japan/Korea,most-other,pre,0.446569463,0,0.142986664,24.8760497,0.754474143,0.928900524,0.892328974
2017-09,Russia,most-other,pre,0.486413632,0,0.096071861,22.27218065,0.794989405,0.528997245,0.689002887
2017-09,Western Asia,most-other,pre,0.480870306,0,0.138015838,23.83031322,0.818279823,0.873049876,0.868632994
2017-09,China,most-other,pre,0.415094237,0,0.189100769,23.33470085,0.768469577,0.777499144,0.804478599
2017-09,Southern America,most-tropical,pre,0.434732677,0,0.052959666,20.44070147,0.822094949,0.821041029,0.822117245
2017-09,Africa,most-tropical,pre,0.409372012,0,0.632701597,20.60525925,0.77015324,0.842307889,0.817784992
2017-10,Oceania,most-tropical,pre,0.418084725,0,0.317146959,26.97164484,0.83798752,0.967379088,0.969725563
2017-10,South-eastern Asia,most-tropical,pre,0.40520904,0,0.24343681,22.88315345,0.751560942,0.912361304,0.869683621
2017-10,Europe,most-other,pre,0.481968691,0,0.156263747,30.36774399,0.764405493,0.860598646,0.844687582
2017-10,Southern Asia,most-tropical,pre,0.433444603,0,0.351526981,22.79970871,0.926616977,0.808757978,0.860148346
2017-10,Northern America,most-other,pre,0.5202131,0,0.210375135,25.50080386,0.819865232,0.837204724,0.844380526
2017-10,Japan/Korea,most-other,pre,0.508228246,0,0.169015713,24.5053554,0.80022032,0.933885375,0.912427236
2017-10,Russia,most-other,pre,0.47004507,0,0.109314599,23.59574707,0.659873248,0.496026513,0.620440117
2017-10,Western Asia,most-other,pre,0.443647208,0,0.159442607,23.7142053,0.775431471,0.846534443,0.832732537
2017-10,China,most-other,pre,0.449419021,0,0.152206263,23.11110873,0.820422561,0.798839587,0.831163642
2017-10,Southern America,most-tropical,pre,0.48319552,0,0.091444108,20.41706639,0.83478782,0.839732553,0.840245858
2017-10,Africa,most-tropical,pre,0.433725585,0,0.542776662,20.66857464,0.718198649,0.874367931,0.807259338
2017-11,Oceania,most-tropical,pre,0.418084725,0,0.311303877,24.72245808,0.80187626,0.942365,0.941345995
2017-11,South-eastern Asia,most-tropical,pre,0.40520904,0,0.236961168,22.43445462,0.773523279,0.895020174,0.862995951
2017-11,Europe,most-other,pre,0.481968691,0,0.210803291,28.51872465,0.63878242,0.661673458,0.659808099
2017-11,Southern Asia,most-tropical,pre,0.433444603,0,0.362342287,22.56814212,0.945358582,0.802480104,0.860416727
2017-11,Northern America,most-other,pre,0.5202131,0,0.251261261,25.11263736,0.68345513,0.803794336,0.799531394
2017-11,Japan/Korea,most-other,pre,0.508228246,0,0.207794751,23.95416629,0.762394971,0.857393056,0.847869772
2017-11,Russia,most-other,pre,0.47004507,0,0.141802575,22.45112952,0.53364806,0.450799886,0.544091057
2017-11,Western Asia,most-other,pre,0.443647208,0,0.158867331,23.32025309,0.691984193,0.854635973,0.792637158
2017-11,China,most-other,pre,0.449419021,0,0.187151174,22.63107743,0.762982661,0.774631481,0.801115691
2017-11,Southern America,most-tropical,pre,0.48319552,0,0.096876971,20.33911316,0.806079336,0.821996442,0.821418541
2017-11,Africa,most-tropical,pre,0.433725585,0,0.3613141,20.80131729,0.686254149,0.85465597,0.780986297
2017-12,Oceania,most-tropical,pre,0.418084725,0,0.284329141,23.88475841,0.896593751,0.955516843,0.973595974
2017-12,South-eastern Asia,most-tropical,pre,0.40520904,0,0.25863766,22.40992202,0.845407577,0.952559155,0.924492268
2017-12,Europe,most-other,pre,0.481968691,0,0.253193967,27.73888654,0.646480862,0.652708565,0.654188574
2017-12,Southern Asia,most-tropical,pre,0.433444603,0,0.355996826,22.12307118,1,0.852344285,0.912782741
2017-12,Northern America,most-other,pre,0.5202131,0,0.279996978,24.96748982,0.727991076,0.798959456,0.799954297
2017-12,Japan/Korea,most-other,pre,0.508228246,0,0.230991108,23.65710743,0.792780856,0.89029111,0.880818374
2017-12,Russia,most-other,pre,0.47004507,0,0.173170672,22.4323416,0.543354817,0.445646945,0.542604383
2017-12,Western Asia,most-other,pre,0.443647208,0,0.168836147,23.10061049,0.729246411,0.894567445,0.832279764
2017-12,China,most-other,pre,0.449419021,0,0.209382935,22.83314729,0.793211939,0.78514947,0.814957621
2017-12,Southern America,most-tropical,pre,0.48319552,0,0.105103049,20.38079248,0.886923154,0.867952216,0.870831567
2017-12,Africa,most-tropical,pre,0.433725585,0,0.48794177,20.7169686,0.738091047,0.889884219,0.825248006
2018-01,Oceania,most-tropical,pre,0.453340708,0,0.260008496,23.15958972,0.965761223,0.93390133,0.972039286
2018-01,South-eastern Asia,most-tropical,pre,0.404683682,0,0.277374076,22.10323244,0.848866918,0.95804277,0.929432145
2018-01,Europe,most-other,pre,0.45680325,0,0.290462711,25.98625905,0.637245349,0.636096677,0.639004423
2018-01,Southern Asia,most-tropical,pre,0.430427088,0,0.342988849,21.80357716,0.987768135,0.879228319,0.929850719
2018-01,Northern America,most-other,pre,0.417087074,0,0.308871512,23.83562474,0.724734056,0.746329368,0.752066107
2018-01,Japan/Korea,most-other,pre,0.41901197,0,0.295505752,22.81947634,0.80596812,0.901447021,0.893050043
2018-01,Russia,most-other,pre,0.490665473,0,0.199208541,22.56460936,0.556642292,0.455851167,0.555281986
2018-01,Western Asia,most-other,pre,0.399203657,0,0.156191418,22.43835151,0.699124817,0.91246294,0.825279906
2018-01,China,most-other,pre,0.419303634,0,0.231153301,22.53729623,0.789569425,0.79965654,0.827285478
2018-01,Southern America,most-tropical,pre,0.457442247,0,0.114242264,20.6532127,0.915362161,0.889005984,0.892630608
2018-01,Africa,most-tropical,pre,0.410526669,0,0.495638819,20.70798367,0.731816006,0.852775826,0.80339372
