var,epoch,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
air-traffic,pos,Oceania,0.26689346586585644,0.0880394538649386,0.12466843332292034,0.40858333822767834,0.10582029059214001,0.44222562964359613
air-traffic,pan,Oceania,0.5139320979185749,0.07347751609057325,0.39298914778364913,0.6326286428929753,0.37106364318514645,0.6548175161374662
air-traffic,pre,Oceania,0.5333657811794487,0.06724989849941536,0.42654659416408264,0.6458021329365895,0.39923260370065594,0.6623724831524062
air-traffic,pos,South-eastern Asia,0.22194531727202024,0.08544240654970384,0.07904786036287693,0.35984830401915713,0.05181711697312907,0.384345145007714
air-traffic,pan,South-eastern Asia,0.344423637933133,0.06952567447241122,0.2313728813870245,0.45643225918325064,0.20507606471593276,0.4748903915696989
air-traffic,pre,South-eastern Asia,0.5924119902045977,0.06916979623513331,0.47792938664416645,0.7044564210265973,0.46001933296002057,0.7319399981631005
air-traffic,pos,Europe,0.40415359827337044,0.09859103790553231,0.242489766922414,0.5641937479612501,0.20629009440145643,0.5907872777165596
air-traffic,pan,Europe,0.6189587243010405,0.08597256114377647,0.4834545926792977,0.7639558486970932,0.450610086155969,0.7872163317684696
air-traffic,pre,Europe,0.534984589306512,0.07372215794958636,0.41834359542241,0.6621296687069993,0.39278237856894066,0.6821653972653642
air-traffic,pos,Southern Asia,0.5963798433096513,0.09573509775630382,0.4412019789547235,0.7551400417887687,0.40486178189344013,0.7802660923269582
air-traffic,pan,Southern Asia,0.868912774578943,0.09390504520341408,0.7049876105434874,1.016089777696094,0.6908510020815404,1.054731489068792
air-traffic,pre,Southern Asia,0.4412661807304221,0.05770383955849969,0.3464471120103697,0.5362155560351941,0.32305054291035834,0.548376666644828
air-traffic,pos,Northern America,0.5022813897689562,0.09878626138122332,0.34495811417066063,0.6687598309586397,0.30655412345658833,0.6982631522297522
air-traffic,pan,Northern America,0.5404001170864254,0.08346636923277667,0.4096789878916225,0.6849096458439655,0.38135276951901426,0.706670629816404
air-traffic,pre,Northern America,0.4359584386023004,0.06677904927996835,0.328697735496821,0.549501140508496,0.3099766952318712,0.5726012508291047
air-traffic,pos,Japan-Korea,0.1408790040190668,0.07992286428930712,0.0069258068336086965,0.2668640289504562,-0.021433761798334085,0.287791601253713
air-traffic,pan,Japan-Korea,0.3625326802755361,0.07105590755618016,0.2484017533638867,0.47920553961136897,0.2223790116328382,0.4991642082330605
air-traffic,pre,Japan-Korea,0.5417965391565946,0.0669530967336665,0.43563343443503194,0.6547496431309734,0.4058262972212162,0.6667131676131359
air-traffic,pos,Russia,0.2901475412064141,0.08442912716994065,0.1517077225813642,0.430758314713156,0.12464070847398236,0.4552644636719434
air-traffic,pan,Russia,0.5308059830095554,0.08846478399183302,0.3774393748630519,0.6671941451928894,0.3570554596546268,0.7031749336434108
air-traffic,pre,Russia,0.5641965499866252,0.07643431418379464,0.43282428275459706,0.6862570245024984,0.41948777376968854,0.7215955799766934
air-traffic,pos,Western Asia,0.4467524034832609,0.09380200155459811,0.29590517724046295,0.6032466230018351,0.2651430316048571,0.6329440475071925
air-traffic,pan,Western Asia,0.49930834701596266,0.08432232963038386,0.3615129444698766,0.6368295412760153,0.33405262751674464,0.6656163797607069
air-traffic,pre,Western Asia,0.5743858650038757,0.07625163818842653,0.45154558921232435,0.7026168459169513,0.4259479874631526,0.7211643222025601
air-traffic,pos,China,0.8876845962670424,0.08440325649668982,0.7492654112543472,1.025193679526947,0.7198541849024939,1.0467150473093285
air-traffic,pan,China,0.5421555353722579,0.06897808822224878,0.4270753892979239,0.652991885359687,0.40515671351411914,0.6740628000170561
air-traffic,pre,China,0.3288157574332432,0.06392319041361383,0.22691444156509785,0.437401712910639,0.20555076281073043,0.4525848757775835
air-traffic,pos,Southern America,0.3526380519154627,0.09631577649607205,0.19374880909396797,0.5089430827691079,0.16444329422179296,0.5399996518515106
air-traffic,pan,Southern America,0.6317586598476133,0.08992631792447303,0.4868436930990019,0.7798339539548329,0.4586198381124833,0.8061214519071451
air-traffic,pre,Southern America,0.4621450546492825,0.06214931348517857,0.3602382316936935,0.5618244391794072,0.33908034626079575,0.5809286076789357
air-traffic,pos,Africa,0.5161660860298809,0.09844175441667234,0.35036691228148775,0.6732983828606105,0.3270290077226737,0.7129118163386269
air-traffic,pan,Africa,1.0475576595188376,0.10941374197571055,0.8691553338180595,1.2290855356513217,0.8352839540188362,1.2612947816476574
air-traffic,pre,Africa,0.40673061704416874,0.07276142487277466,0.2871222817399474,0.5256568314499661,0.26325023432535677,0.5475609474912612
