,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"b_z[Western Asia, 2021, pre]",0.002,1.0,-1.607,1.67,0.007,0.014,18795.0,4949.0,1.0
"b_z[Western Asia, 2021, pan]",0.502,0.661,-0.574,1.601,0.006,0.006,12304.0,6498.0,1.0
"b_z[Western Asia, 2021, pos]",-0.187,0.668,-1.257,0.915,0.005,0.008,14866.0,5436.0,1.0
"b_z[Western Asia, 2022, pre]",0.001,1.003,-1.675,1.62,0.007,0.013,19154.0,5420.0,1.0
"b_z[Western Asia, 2022, pan]",-0.004,1.001,-1.705,1.59,0.007,0.014,19961.0,5579.0,1.0
"b_z[Western Asia, 2022, pos]",-0.142,0.934,-1.712,1.348,0.008,0.011,14423.0,6113.0,1.0
"b_z[Western Asia, 2023, pre]",-0.001,1.006,-1.644,1.674,0.007,0.013,18182.0,5702.0,1.0
"b_z[Western Asia, 2023, pan]",-0.001,1.011,-1.632,1.667,0.007,0.013,20186.0,6008.0,1.0
"b_z[Western Asia, 2023, pos]",0.114,0.686,-1.03,1.226,0.007,0.007,9947.0,5659.0,1.0
"b_z[Russia, 2017, pre]",1.113,0.244,0.708,1.509,0.004,0.003,3524.0,5251.0,1.0
"b_z[Russia, 2017, pan]",0.001,1.006,-1.575,1.749,0.008,0.013,16028.0,5214.0,1.0
"b_z[Russia, 2017, pos]",-0.0,0.995,-1.659,1.576,0.008,0.014,17224.0,5196.0,1.0
"b_z[Russia, 2018, pre]",0.899,0.318,0.393,1.444,0.004,0.003,6078.0,5411.0,1.0
"b_z[Russia, 2018, pan]",0.015,0.998,-1.606,1.611,0.007,0.013,19884.0,5562.0,1.0
"b_z[Russia, 2018, pos]",0.012,0.994,-1.629,1.644,0.008,0.013,16942.0,5684.0,1.0
"b_z[Russia, 2019, pre]",0.011,0.221,-0.336,0.374,0.003,0.002,4117.0,5248.0,1.0
"b_z[Russia, 2019, pan]",0.001,0.977,-1.592,1.603,0.007,0.013,17584.0,5448.0,1.0
"b_z[Russia, 2019, pos]",0.0,0.996,-1.642,1.62,0.007,0.013,18180.0,5664.0,1.0
"b_z[Russia, 2020, pre]",-1.0,0.465,-1.74,-0.212,0.005,0.004,8873.0,5868.0,1.0
"b_z[Russia, 2020, pan]",-0.77,0.308,-1.29,-0.282,0.004,0.003,5449.0,5383.0,1.0
"b_z[Russia, 2020, pos]",0.003,0.984,-1.617,1.599,0.008,0.012,16331.0,5703.0,1.0
"b_z[Russia, 2021, pre]",0.012,0.982,-1.624,1.591,0.007,0.013,18875.0,5499.0,1.0
"b_z[Russia, 2021, pan]",0.448,0.275,-0.011,0.895,0.004,0.003,5547.0,6228.0,1.0
"b_z[Russia, 2021, pos]",-0.282,0.262,-0.71,0.148,0.004,0.003,4640.0,4876.0,1.0
"b_z[Russia, 2022, pre]",0.007,1.009,-1.582,1.743,0.008,0.015,17482.0,4972.0,1.0
"b_z[Russia, 2022, pan]",-0.005,0.983,-1.622,1.583,0.007,0.013,17762.0,5415.0,1.0
"b_z[Russia, 2022, pos]",-0.07,0.429,-0.771,0.627,0.004,0.005,9759.0,6157.0,1.0
"b_z[Russia, 2023, pre]",0.005,1.006,-1.682,1.575,0.007,0.014,18681.0,5173.0,1.0
