,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c_z[Oceania, 2018, pan]",-0.001,0.994,-1.621,1.677,0.007,0.014,18750.0,5227.0,1.0
"c_z[Oceania, 2018, pos]",0.009,0.999,-1.606,1.644,0.008,0.013,17564.0,5529.0,1.0
"c_z[Oceania, 2019, pre]",0.005,0.284,-0.48,0.451,0.004,0.003,6347.0,5669.0,1.0
"c_z[Oceania, 2019, pan]",0.002,0.996,-1.596,1.676,0.008,0.013,17473.0,5654.0,1.0
"c_z[Oceania, 2019, pos]",0.005,0.984,-1.569,1.662,0.007,0.012,17872.0,5875.0,1.0
"c_z[Oceania, 2020, pre]",0.044,0.565,-0.893,0.958,0.006,0.006,10135.0,6955.0,1.0
"c_z[Oceania, 2020, pan]",-0.315,0.208,-0.647,0.037,0.003,0.002,3836.0,5224.0,1.0
"c_z[Oceania, 2020, pos]",0.008,1.023,-1.672,1.686,0.007,0.015,19739.0,5153.0,1.0
"c_z[Oceania, 2021, pre]",0.012,0.991,-1.68,1.553,0.007,0.013,19347.0,5722.0,1.0
"c_z[Oceania, 2021, pan]",-0.675,0.28,-1.16,-0.236,0.004,0.003,4984.0,5806.0,1.0
"c_z[Oceania, 2021, pos]",-0.15,0.348,-0.69,0.453,0.004,0.003,6736.0,5754.0,1.0
"c_z[Oceania, 2022, pre]",-0.012,0.979,-1.567,1.607,0.007,0.013,17808.0,5458.0,1.0
"c_z[Oceania, 2022, pan]",-0.006,0.999,-1.663,1.632,0.007,0.013,19313.0,5701.0,1.0
"c_z[Oceania, 2022, pos]",-1.806,0.38,-2.413,-1.184,0.005,0.004,5269.0,5816.0,1.0
"c_z[Oceania, 2023, pre]",0.003,0.996,-1.66,1.577,0.007,0.014,21067.0,5337.0,1.0
"c_z[Oceania, 2023, pan]",0.003,1.003,-1.568,1.685,0.008,0.013,16384.0,5846.0,1.0
"c_z[Oceania, 2023, pos]",0.587,0.913,-0.838,2.168,0.007,0.009,15259.0,6572.0,1.0
"c_z[China, 2017, pre]",0.486,0.466,-0.271,1.251,0.005,0.004,8819.0,6164.0,1.0
"c_z[China, 2017, pan]",0.012,1.004,-1.629,1.634,0.007,0.014,17977.0,5375.0,1.0
"c_z[China, 2017, pos]",0.003,0.992,-1.605,1.619,0.007,0.015,20087.0,5690.0,1.0
"c_z[China, 2018, pre]",0.007,0.351,-0.564,0.587,0.004,0.004,7540.0,6595.0,1.0
"c_z[China, 2018, pan]",-0.009,0.99,-1.555,1.735,0.008,0.012,16885.0,5586.0,1.0
"c_z[China, 2018, pos]",0.005,0.99,-1.602,1.678,0.007,0.013,20355.0,5735.0,1.0
"c_z[China, 2019, pre]",-2.438,0.311,-2.961,-1.943,0.006,0.004,2937.0,4695.0,1.0
"c_z[China, 2019, pan]",-0.001,1.01,-1.634,1.677,0.007,0.014,19228.0,5346.0,1.0
"c_z[China, 2019, pos]",0.001,1.005,-1.642,1.651,0.008,0.013,17351.0,5492.0,1.0
"c_z[China, 2020, pre]",0.584,0.483,-0.191,1.399,0.004,0.004,12130.0,5479.0,1.0
"c_z[China, 2020, pan]",-0.083,0.218,-0.444,0.263,0.003,0.002,4469.0,5505.0,1.0
"c_z[China, 2020, pos]",-0.005,0.991,-1.574,1.679,0.007,0.013,19301.0,5518.0,1.0
"c_z[China, 2021, pre]",0.002,0.982,-1.624,1.551,0.008,0.013,15505.0,5637.0,1.0
"c_z[China, 2021, pan]",-0.374,0.263,-0.818,0.05,0.004,0.003,4940.0,6085.0,1.0
"c_z[China, 2021, pos]",-0.535,0.309,-1.021,-0.011,0.004,0.003,5145.0,6285.0,1.0
"c_z[China, 2022, pre]",0.004,0.977,-1.593,1.633,0.007,0.012,18207.0,5996.0,1.0
"c_z[China, 2022, pan]",-0.0,1.0,-1.653,1.648,0.008,0.013,17725.0,5609.0,1.0
"c_z[China, 2022, pos]",2.513,0.357,1.947,3.103,0.005,0.004,4536.0,5927.0,1.0
"c_z[China, 2023, pre]",-0.003,0.977,-1.524,1.659,0.008,0.013,15949.0,5630.0,1.0
"c_z[China, 2023, pan]",-0.01,1.0,-1.657,1.626,0.008,0.013,17616.0,5427.0,1.0
"c_z[China, 2023, pos]",-1.228,0.449,-1.985,-0.519,0.005,0.004,9247.0,6065.0,1.0
"c_z[Western Asia, 2017, pre]",0.639,0.455,-0.102,1.396,0.005,0.004,9865.0,6525.0,1.0
"c_z[Western Asia, 2017, pan]",0.003,1.015,-1.68,1.621,0.008,0.014,16152.0,4726.0,1.0
"c_z[Western Asia, 2017, pos]",0.011,1.0,-1.584,1.667,0.007,0.014,17840.0,5369.0,1.0
"c_z[Western Asia, 2018, pre]",0.791,0.459,0.035,1.558,0.005,0.004,8469.0,6042.0,1.0
"c_z[Western Asia, 2018, pan]",0.001,1.013,-1.717,1.645,0.008,0.014,16901.0,5402.0,1.0
"c_z[Western Asia, 2018, pos]",0.009,0.998,-1.646,1.644,0.007,0.013,18631.0,5524.0,1.0
"c_z[Western Asia, 2019, pre]",-0.391,0.37,-1.022,0.191,0.004,0.003,7025.0,6402.0,1.0
"c_z[Western Asia, 2019, pan]",-0.004,1.004,-1.637,1.68,0.008,0.013,17617.0,5889.0,1.0
"c_z[Western Asia, 2019, pos]",-0.003,1.014,-1.649,1.675,0.008,0.014,16295.0,5049.0,1.0
"c_z[Western Asia, 2020, pre]",0.7,0.778,-0.56,2.002,0.008,0.007,10098.0,6210.0,1.0
"c_z[Western Asia, 2020, pan]",-0.298,0.247,-0.703,0.106,0.003,0.002,5250.0,5452.0,1.0
"c_z[Western Asia, 2020, pos]",0.004,1.019,-1.61,1.722,0.008,0.013,16869.0,5663.0,1.0
"c_z[Western Asia, 2021, pre]",0.0,1.01,-1.653,1.673,0.008,0.013,17757.0,5122.0,1.0
"c_z[Western Asia, 2021, pan]",0.018,0.559,-0.876,0.943,0.005,0.006,11569.0,5448.0,1.0
"c_z[Western Asia, 2021, pos]",-0.38,0.328,-0.912,0.165,0.004,0.003,7233.0,5370.0,1.0
"c_z[Western Asia, 2022, pre]",-0.002,0.995,-1.586,1.68,0.007,0.013,17808.0,5527.0,1.0
"c_z[Western Asia, 2022, pan]",-0.001,0.994,-1.579,1.671,0.008,0.014,17357.0,5176.0,1.0
"c_z[Western Asia, 2022, pos]",-0.917,0.364,-1.501,-0.313,0.004,0.003,7402.0,5269.0,1.0
"c_z[Western Asia, 2023, pre]",0.007,0.975,-1.655,1.554,0.008,0.013,16751.0,5043.0,1.0
"c_z[Western Asia, 2023, pan]",0.004,1.01,-1.583,1.732,0.008,0.013,17169.0,5798.0,1.0
"c_z[Western Asia, 2023, pos]",0.286,0.591,-0.7,1.237,0.006,0.006,9989.0,5919.0,1.0
"c_z[Russia, 2017, pre]",-0.188,0.424,-0.912,0.474,0.004,0.005,11054.0,5635.0,1.0
"c_z[Russia, 2017, pan]",-0.002,0.987,-1.641,1.605,0.008,0.013,16013.0,5577.0,1.0
"c_z[Russia, 2017, pos]",-0.009,1.005,-1.623,1.696,0.007,0.014,19567.0,5290.0,1.0
"c_z[Russia, 2018, pre]",-0.158,0.332,-0.699,0.391,0.004,0.004,7798.0,4905.0,1.0
"c_z[Russia, 2018, pan]",-0.002,1.024,-1.616,1.726,0.007,0.014,18805.0,5732.0,1.0
"c_z[Russia, 2018, pos]",0.002,1.028,-1.68,1.718,0.007,0.013,19090.0,5612.0,1.0
"c_z[Russia, 2019, pre]",0.759,0.376,0.184,1.41,0.004,0.003,7367.0,6228.0,1.0
"c_z[Russia, 2019, pan]",-0.011,0.993,-1.601,1.608,0.007,0.013,18737.0,5660.0,1.0
"c_z[Russia, 2019, pos]",-0.004,1.007,-1.608,1.706,0.007,0.014,18209.0,5808.0,1.0
"c_z[Russia, 2020, pre]",0.507,0.755,-0.733,1.747,0.007,0.007,10884.0,6114.0,1.0
"c_z[Russia, 2020, pan]",-0.734,0.263,-1.162,-0.296,0.004,0.003,4643.0,5818.0,1.0
"c_z[Russia, 2020, pos]",-0.003,1.014,-1.618,1.703,0.008,0.014,17438.0,5475.0,1.0
"c_z[Russia, 2021, pre]",-0.019,0.992,-1.655,1.605,0.007,0.014,18593.0,5231.0,1.0
"c_z[Russia, 2021, pan]",0.469,0.464,-0.318,1.199,0.005,0.004,10582.0,6249.0,1.0
"c_z[Russia, 2021, pos]",0.283,0.417,-0.416,0.947,0.005,0.004,8341.0,5683.0,1.0
"c_z[Russia, 2022, pre]",-0.02,1.001,-1.74,1.534,0.007,0.013,21639.0,6021.0,1.0
"c_z[Russia, 2022, pan]",-0.011,1.007,-1.693,1.611,0.008,0.014,17076.0,5433.0,1.0
"c_z[Russia, 2022, pos]",-1.265,0.299,-1.743,-0.761,0.004,0.003,4470.0,5495.0,1.0
"c_z[Russia, 2023, pre]",-0.001,1.002,-1.534,1.725,0.007,0.013,18917.0,5841.0,1.0
"c_z[Russia, 2023, pan]",0.008,1.005,-1.677,1.613,0.007,0.014,23752.0,5470.0,1.0
"c_z[Russia, 2023, pos]",-1.584,0.439,-2.308,-0.862,0.005,0.004,8054.0,6406.0,1.0
"c_z[Japan/Korea, 2017, pre]",0.85,0.444,0.092,1.52,0.005,0.004,8414.0,5709.0,1.0
"c_z[Japan/Korea, 2017, pan]",0.003,0.985,-1.637,1.567,0.008,0.012,16270.0,5771.0,1.0
"c_z[Japan/Korea, 2017, pos]",0.002,1.03,-1.652,1.717,0.008,0.014,17542.0,5112.0,1.0
"c_z[Japan/Korea, 2018, pre]",0.589,0.426,-0.107,1.296,0.005,0.004,7259.0,5221.0,1.0
"c_z[Japan/Korea, 2018, pan]",-0.005,1.0,-1.588,1.742,0.007,0.013,18333.0,5412.0,1.0
"c_z[Japan/Korea, 2018, pos]",-0.008,0.993,-1.639,1.643,0.008,0.013,17473.0,5842.0,1.0
"c_z[Japan/Korea, 2019, pre]",-0.244,0.261,-0.651,0.199,0.004,0.003,4961.0,6041.0,1.0
"c_z[Japan/Korea, 2019, pan]",-0.002,1.001,-1.658,1.604,0.007,0.014,19269.0,5457.0,1.0
"c_z[Japan/Korea, 2019, pos]",0.005,0.994,-1.604,1.628,0.007,0.013,17941.0,5544.0,1.0
"c_z[Japan/Korea, 2020, pre]",0.435,0.645,-0.661,1.465,0.007,0.006,8877.0,6365.0,1.0
"c_z[Japan/Korea, 2020, pan]",-0.61,0.233,-0.969,-0.209,0.004,0.003,3857.0,4513.0,1.0
"c_z[Japan/Korea, 2020, pos]",-0.001,0.987,-1.585,1.6,0.007,0.013,19667.0,6011.0,1.0
"c_z[Japan/Korea, 2021, pre]",0.003,0.984,-1.61,1.62,0.007,0.013,18954.0,5667.0,1.0
"c_z[Japan/Korea, 2021, pan]",-0.647,0.274,-1.111,-0.214,0.004,0.003,5017.0,5989.0,1.0
"c_z[Japan/Korea, 2021, pos]",-0.629,0.263,-1.073,-0.206,0.004,0.003,4759.0,5421.0,1.0
"c_z[Japan/Korea, 2022, pre]",0.003,0.973,-1.609,1.574,0.007,0.013,18069.0,5341.0,1.0
"c_z[Japan/Korea, 2022, pan]",-0.014,0.983,-1.565,1.649,0.008,0.013,17007.0,5419.0,1.0
"c_z[Japan/Korea, 2022, pos]",-1.63,0.274,-2.059,-1.157,0.005,0.003,3246.0,4670.0,1.0
"c_z[Japan/Korea, 2023, pre]",-0.001,0.989,-1.64,1.567,0.008,0.013,16615.0,6079.0,1.0
"c_z[Japan/Korea, 2023, pan]",-0.009,1.019,-1.534,1.829,0.007,0.015,21186.0,5047.0,1.0
"c_z[Japan/Korea, 2023, pos]",-1.062,0.755,-2.254,0.206,0.006,0.006,14675.0,6022.0,1.0
"c_z[Northern America, 2017, pre]",0.037,0.33,-0.513,0.57,0.004,0.004,7293.0,5683.0,1.0
"c_z[Northern America, 2017, pan]",0.008,0.99,-1.605,1.636,0.007,0.013,17617.0,5234.0,1.0
"c_z[Northern America, 2017, pos]",-0.004,0.997,-1.652,1.587,0.007,0.013,17803.0,5333.0,1.0
"c_z[Northern America, 2018, pre]",-0.248,0.28,-0.707,0.213,0.004,0.003,6002.0,6187.0,1.0
"c_z[Northern America, 2018, pan]",0.01,0.976,-1.599,1.628,0.007,0.013,18532.0,5848.0,1.0
"c_z[Northern America, 2018, pos]",-0.002,0.986,-1.553,1.709,0.007,0.013,17996.0,5690.0,1.0
"c_z[Northern America, 2019, pre]",-0.164,0.276,-0.623,0.283,0.003,0.003,6601.0,4892.0,1.0
"c_z[Northern America, 2019, pan]",0.014,1.025,-1.772,1.616,0.008,0.014,16669.0,5516.0,1.0
"c_z[Northern America, 2019, pos]",-0.0,0.998,-1.666,1.601,0.007,0.014,19725.0,5337.0,1.0
"c_z[Northern America, 2020, pre]",1.513,0.683,0.329,2.57,0.007,0.005,10492.0,6630.0,1.0
"c_z[Northern America, 2020, pan]",-0.552,0.232,-0.947,-0.183,0.004,0.003,4073.0,5377.0,1.0
"c_z[Northern America, 2020, pos]",0.001,1.016,-1.612,1.689,0.007,0.013,18937.0,5652.0,1.0
"c_z[Northern America, 2021, pre]",-0.002,0.992,-1.609,1.655,0.007,0.013,17932.0,5445.0,1.0
"c_z[Northern America, 2021, pan]",1.021,0.491,0.194,1.811,0.005,0.004,9558.0,6808.0,1.0
"c_z[Northern America, 2021, pos]",-0.355,0.384,-0.959,0.301,0.004,0.004,8130.0,6398.0,1.0
"c_z[Northern America, 2022, pre]",0.0,1.004,-1.659,1.59,0.007,0.015,18577.0,5375.0,1.0
"c_z[Northern America, 2022, pan]",-0.008,0.995,-1.666,1.598,0.007,0.014,17621.0,5311.0,1.0
"c_z[Northern America, 2022, pos]",-0.755,0.466,-1.526,0.005,0.005,0.004,10734.0,5176.0,1.0
"c_z[Northern America, 2023, pre]",0.017,0.995,-1.653,1.603,0.007,0.013,18431.0,5177.0,1.0
"c_z[Northern America, 2023, pan]",0.001,1.009,-1.662,1.662,0.007,0.014,18170.0,5272.0,1.0
"c_z[Northern America, 2023, pos]",0.163,0.753,-1.053,1.408,0.007,0.008,12366.0,6598.0,1.0
"c_z[Southern Asia, 2017, pre]",0.054,0.297,-0.409,0.563,0.004,0.003,5171.0,5351.0,1.0
"c_z[Southern Asia, 2017, pan]",-0.011,0.995,-1.753,1.5,0.008,0.013,17575.0,6225.0,1.0
"c_z[Southern Asia, 2017, pos]",-0.005,0.998,-1.697,1.576,0.008,0.014,16743.0,5615.0,1.0
"c_z[Southern Asia, 2018, pre]",-0.092,0.289,-0.535,0.419,0.004,0.003,5641.0,6345.0,1.0
"c_z[Southern Asia, 2018, pan]",0.006,1.005,-1.608,1.664,0.007,0.013,20632.0,6232.0,1.0
"c_z[Southern Asia, 2018, pos]",-0.009,1.03,-1.639,1.72,0.008,0.014,17688.0,5623.0,1.0
"c_z[Southern Asia, 2019, pre]",-0.42,0.234,-0.823,-0.038,0.004,0.002,4428.0,5029.0,1.0
"c_z[Southern Asia, 2019, pan]",0.012,1.008,-1.604,1.665,0.008,0.014,17835.0,5191.0,1.0
"c_z[Southern Asia, 2019, pos]",-0.001,1.019,-1.663,1.647,0.008,0.014,17140.0,5054.0,1.0
"c_z[Southern Asia, 2020, pre]",-0.003,1.019,-1.638,1.698,0.008,0.014,17423.0,5524.0,1.0
"c_z[Southern Asia, 2020, pan]",0.743,0.242,0.325,1.12,0.003,0.002,5002.0,6101.0,1.0
"c_z[Southern Asia, 2020, pos]",0.007,0.996,-1.538,1.76,0.007,0.013,19024.0,5027.0,1.0
"c_z[Southern Asia, 2021, pre]",0.0,1.007,-1.608,1.715,0.007,0.014,18830.0,5131.0,1.0
"c_z[Southern Asia, 2021, pan]",2.01,0.531,1.168,2.906,0.005,0.004,9551.0,6612.0,1.0
"c_z[Southern Asia, 2021, pos]",2.062,0.403,1.419,2.735,0.005,0.004,6642.0,6129.0,1.0
"c_z[Southern Asia, 2022, pre]",-0.008,0.99,-1.605,1.626,0.007,0.014,19114.0,5366.0,1.0
"c_z[Southern Asia, 2022, pan]",0.018,0.998,-1.619,1.653,0.007,0.013,18618.0,5376.0,1.0
"c_z[Southern Asia, 2022, pos]",1.93,0.468,1.139,2.671,0.005,0.004,8631.0,5790.0,1.0
"c_z[Southern Asia, 2023, pre]",0.003,1.016,-1.588,1.735,0.007,0.014,21247.0,5411.0,1.0
"c_z[Southern Asia, 2023, pan]",-0.005,0.991,-1.564,1.683,0.007,0.013,18233.0,5645.0,1.0
"c_z[Southern Asia, 2023, pos]",0.227,0.485,-0.532,1.038,0.005,0.005,9014.0,6141.0,1.0
"c_z[Europe, 2017, pre]",0.383,0.437,-0.355,1.082,0.004,0.004,9710.0,6136.0,1.0
"c_z[Europe, 2017, pan]",0.014,1.026,-1.62,1.71,0.007,0.013,20113.0,5659.0,1.0
"c_z[Europe, 2017, pos]",-0.002,0.992,-1.656,1.568,0.007,0.013,19174.0,5450.0,1.0
"c_z[Europe, 2018, pre]",0.341,0.397,-0.336,0.965,0.004,0.004,8044.0,6237.0,1.0
"c_z[Europe, 2018, pan]",0.002,1.002,-1.672,1.607,0.007,0.013,18161.0,5618.0,1.0
"c_z[Europe, 2018, pos]",0.008,0.982,-1.548,1.688,0.007,0.014,19406.0,5359.0,1.0
"c_z[Europe, 2019, pre]",0.216,0.294,-0.24,0.723,0.004,0.003,6517.0,5698.0,1.0
"c_z[Europe, 2019, pan]",-0.001,0.987,-1.666,1.577,0.007,0.013,17390.0,5237.0,1.0
"c_z[Europe, 2019, pos]",-0.005,1.0,-1.613,1.668,0.007,0.013,19874.0,5896.0,1.0
"c_z[Europe, 2020, pre]",1.563,0.744,0.291,2.74,0.007,0.005,10352.0,6443.0,1.0
"c_z[Europe, 2020, pan]",-0.09,0.26,-0.509,0.336,0.004,0.003,4996.0,5395.0,1.0
"c_z[Europe, 2020, pos]",-0.003,0.998,-1.669,1.601,0.008,0.013,15727.0,5705.0,1.0
"c_z[Europe, 2021, pre]",-0.003,1.004,-1.673,1.652,0.007,0.013,19369.0,5474.0,1.0
"c_z[Europe, 2021, pan]",-0.589,0.427,-1.31,0.081,0.005,0.004,8438.0,6306.0,1.0
"c_z[Europe, 2021, pos]",-0.524,0.372,-1.13,0.074,0.005,0.003,6746.0,5953.0,1.0
"c_z[Europe, 2022, pre]",0.012,0.968,-1.548,1.64,0.007,0.013,18640.0,5701.0,1.0
"c_z[Europe, 2022, pan]",0.002,1.01,-1.588,1.698,0.008,0.014,17475.0,5131.0,1.0
"c_z[Europe, 2022, pos]",-1.517,0.473,-2.284,-0.724,0.005,0.004,10411.0,5972.0,1.0
"c_z[Europe, 2023, pre]",-0.002,0.994,-1.643,1.604,0.008,0.013,17597.0,5297.0,1.0
"c_z[Europe, 2023, pan]",-0.001,0.999,-1.603,1.703,0.007,0.014,19455.0,5281.0,1.0
"c_z[Europe, 2023, pos]",0.078,0.757,-1.165,1.313,0.006,0.01,15142.0,5816.0,1.0
"c_z[South-eastern Asia, 2017, pre]",1.081,0.517,0.256,1.953,0.005,0.004,8885.0,6072.0,1.0
"c_z[South-eastern Asia, 2017, pan]",0.017,0.996,-1.632,1.63,0.007,0.013,19257.0,5855.0,1.0
"c_z[South-eastern Asia, 2017, pos]",-0.008,1.015,-1.725,1.609,0.008,0.014,17883.0,5360.0,1.0
"c_z[South-eastern Asia, 2018, pre]",0.82,0.435,0.135,1.551,0.005,0.004,7682.0,5796.0,1.0
"c_z[South-eastern Asia, 2018, pan]",0.016,1.004,-1.635,1.643,0.008,0.013,17057.0,5674.0,1.0
"c_z[South-eastern Asia, 2018, pos]",0.015,0.997,-1.595,1.676,0.008,0.013,17037.0,5725.0,1.0
"c_z[South-eastern Asia, 2019, pre]",-0.104,0.287,-0.556,0.383,0.004,0.003,6186.0,6106.0,1.0
"c_z[South-eastern Asia, 2019, pan]",-0.007,0.997,-1.606,1.655,0.007,0.013,17672.0,5692.0,1.0
"c_z[South-eastern Asia, 2019, pos]",0.012,0.98,-1.613,1.605,0.007,0.013,17319.0,5514.0,1.0
"c_z[South-eastern Asia, 2020, pre]",-0.071,0.524,-0.907,0.801,0.005,0.006,11042.0,6418.0,1.0
"c_z[South-eastern Asia, 2020, pan]",-0.853,0.229,-1.23,-0.48,0.004,0.003,3539.0,4980.0,1.0
"c_z[South-eastern Asia, 2020, pos]",-0.011,1.014,-1.743,1.608,0.007,0.014,19495.0,5384.0,1.0
"c_z[South-eastern Asia, 2021, pre]",0.003,0.991,-1.668,1.576,0.007,0.013,18829.0,5918.0,1.0
"c_z[South-eastern Asia, 2021, pan]",-0.594,0.244,-0.989,-0.192,0.004,0.003,4242.0,5596.0,1.0
"c_z[South-eastern Asia, 2021, pos]",0.544,0.251,0.115,0.943,0.003,0.003,5267.0,5637.0,1.0
"c_z[South-eastern Asia, 2022, pre]",0.011,0.995,-1.639,1.657,0.007,0.013,19922.0,5560.0,1.0
"c_z[South-eastern Asia, 2022, pan]",0.002,1.008,-1.647,1.647,0.007,0.013,21421.0,5596.0,1.0
"c_z[South-eastern Asia, 2022, pos]",-1.449,0.309,-1.939,-0.933,0.005,0.003,4338.0,5126.0,1.0
"c_z[South-eastern Asia, 2023, pre]",0.011,1.005,-1.618,1.659,0.008,0.013,17629.0,5460.0,1.0
"c_z[South-eastern Asia, 2023, pan]",-0.0,1.006,-1.612,1.699,0.007,0.013,18848.0,5620.0,1.0
"c_z[South-eastern Asia, 2023, pos]",-0.334,0.946,-1.855,1.253,0.007,0.012,20012.0,5144.0,1.0
"c_z[Africa, 2017, pre]",-0.204,0.483,-0.981,0.608,0.005,0.005,9933.0,6457.0,1.0
"c_z[Africa, 2017, pan]",-0.003,1.004,-1.63,1.649,0.007,0.013,18445.0,5648.0,1.0
"c_z[Africa, 2017, pos]",-0.001,0.993,-1.634,1.626,0.007,0.013,19765.0,5716.0,1.0
"c_z[Africa, 2018, pre]",-0.726,0.355,-1.323,-0.163,0.004,0.003,7778.0,5098.0,1.0
"c_z[Africa, 2018, pan]",-0.002,0.992,-1.574,1.663,0.007,0.015,18605.0,4872.0,1.0
"c_z[Africa, 2018, pos]",-0.0,1.009,-1.668,1.62,0.007,0.014,19105.0,5211.0,1.0
"c_z[Africa, 2019, pre]",-1.505,0.351,-2.075,-0.939,0.004,0.003,6348.0,6300.0,1.0
"c_z[Africa, 2019, pan]",0.012,1.006,-1.649,1.617,0.007,0.014,18858.0,5539.0,1.0
"c_z[Africa, 2019, pos]",0.005,0.977,-1.591,1.665,0.007,0.013,17716.0,5962.0,1.0
"c_z[Africa, 2020, pre]",1.313,0.753,0.093,2.56,0.007,0.006,10584.0,6501.0,1.0
"c_z[Africa, 2020, pan]",0.813,0.272,0.373,1.263,0.004,0.003,5646.0,5536.0,1.0
"c_z[Africa, 2020, pos]",-0.013,1.001,-1.619,1.673,0.007,0.013,21029.0,5565.0,1.0
"c_z[Africa, 2021, pre]",-0.002,0.993,-1.63,1.674,0.007,0.013,19898.0,5611.0,1.0
"c_z[Africa, 2021, pan]",1.392,0.58,0.493,2.396,0.005,0.004,12999.0,5780.0,1.0
"c_z[Africa, 2021, pos]",1.615,0.52,0.751,2.455,0.005,0.004,9959.0,5665.0,1.0
"c_z[Africa, 2022, pre]",0.002,0.995,-1.648,1.596,0.007,0.013,20957.0,5377.0,1.0
"c_z[Africa, 2022, pan]",-0.001,1.013,-1.769,1.594,0.008,0.014,17399.0,5481.0,1.0
"c_z[Africa, 2022, pos]",-0.986,0.434,-1.69,-0.286,0.004,0.003,9582.0,6532.0,1.0
"c_z[Africa, 2023, pre]",-0.004,0.996,-1.647,1.621,0.008,0.013,17572.0,5226.0,1.0
"c_z[Africa, 2023, pan]",-0.0,1.004,-1.6,1.706,0.007,0.013,19382.0,5807.0,1.0
"c_z[Africa, 2023, pos]",-0.002,0.489,-0.803,0.812,0.004,0.006,13037.0,5641.0,1.0
"c_z[Southern America, 2017, pre]",0.735,0.324,0.176,1.239,0.004,0.003,7161.0,6085.0,1.0
"c_z[Southern America, 2017, pan]",0.008,0.984,-1.584,1.669,0.007,0.013,17211.0,5725.0,1.0
"c_z[Southern America, 2017, pos]",0.01,0.986,-1.622,1.646,0.007,0.013,17333.0,5726.0,1.0
"c_z[Southern America, 2018, pre]",0.066,0.323,-0.464,0.597,0.004,0.003,6775.0,6384.0,1.0
"c_z[Southern America, 2018, pan]",0.018,1.014,-1.656,1.705,0.008,0.013,14950.0,5773.0,1.0
"c_z[Southern America, 2018, pos]",0.008,0.981,-1.606,1.608,0.008,0.012,16808.0,6087.0,1.0
"c_z[Southern America, 2019, pre]",-0.574,0.235,-0.953,-0.189,0.004,0.003,4445.0,5105.0,1.0
"c_z[Southern America, 2019, pan]",0.012,0.988,-1.613,1.614,0.007,0.014,19631.0,5078.0,1.0
"c_z[Southern America, 2019, pos]",-0.009,1.024,-1.622,1.738,0.007,0.013,18972.0,5590.0,1.0
"c_z[Southern America, 2020, pre]",0.75,0.551,-0.133,1.646,0.006,0.005,8332.0,6180.0,1.0
"c_z[Southern America, 2020, pan]",-0.345,0.248,-0.769,0.044,0.004,0.003,4825.0,5877.0,1.0
"c_z[Southern America, 2020, pos]",-0.0,1.003,-1.642,1.638,0.007,0.014,17943.0,5510.0,1.0
"c_z[Southern America, 2021, pre]",0.011,0.989,-1.632,1.616,0.008,0.013,16954.0,5641.0,1.0
"c_z[Southern America, 2021, pan]",0.395,0.586,-0.547,1.356,0.006,0.005,9342.0,6302.0,1.0
"c_z[Southern America, 2021, pos]",0.593,0.496,-0.247,1.387,0.005,0.004,10037.0,6660.0,1.0
"c_z[Southern America, 2022, pre]",-0.002,1.011,-1.696,1.637,0.008,0.014,16609.0,4990.0,1.0
"c_z[Southern America, 2022, pan]",-0.009,1.007,-1.635,1.668,0.008,0.014,17939.0,4653.0,1.0
"c_z[Southern America, 2022, pos]",-0.454,0.454,-1.231,0.276,0.005,0.004,9881.0,6024.0,1.0
"c_z[Southern America, 2023, pre]",-0.0,1.014,-1.687,1.629,0.008,0.014,18070.0,5553.0,1.0
"c_z[Southern America, 2023, pan]",-0.012,1.016,-1.648,1.652,0.007,0.014,19378.0,5071.0,1.0
"c_z[Southern America, 2023, pos]",-1.493,0.613,-2.506,-0.466,0.007,0.005,8295.0,6211.0,1.0
a_s,0.29,0.389,0.0,0.831,0.007,0.005,2136.0,3516.0,1.0
b_s,0.745,0.073,0.627,0.864,0.002,0.001,1992.0,3913.0,1.0
c_s,0.526,0.049,0.443,0.601,0.001,0.001,2327.0,4276.0,1.0
epsilon,0.761,0.022,0.725,0.797,0.0,0.0,11032.0,6569.0,1.0
sigma,0.493,0.015,0.466,0.517,0.0,0.0,8762.0,6224.0,1.0
a,0.005,0.027,-0.04,0.052,0.0,0.0,6034.0,6679.0,1.0
"b[Oceania, 2017, pre]",0.314,0.233,-0.055,0.701,0.002,0.002,14567.0,6149.0,1.0
"b[Oceania, 2017, pan]",-0.056,0.743,-1.262,1.202,0.006,0.01,13856.0,5653.0,1.0
"b[Oceania, 2017, pos]",-0.052,0.772,-1.389,1.152,0.006,0.01,17379.0,5581.0,1.0
"b[Oceania, 2018, pre]",-0.023,0.238,-0.397,0.382,0.002,0.002,10751.0,6473.0,1.0
"b[Oceania, 2018, pan]",-0.059,0.756,-1.324,1.14,0.006,0.01,15274.0,5500.0,1.0
"b[Oceania, 2018, pos]",-0.05,0.747,-1.221,1.222,0.006,0.011,14629.0,4910.0,1.0
"b[Oceania, 2019, pre]",0.265,0.293,-0.202,0.757,0.002,0.002,15992.0,6489.0,1.0
"b[Oceania, 2019, pan]",-0.057,0.764,-1.335,1.163,0.006,0.01,16843.0,5273.0,1.0
"b[Oceania, 2019, pos]",-0.056,0.763,-1.333,1.146,0.006,0.01,15973.0,6062.0,1.0
