var,year,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
air-traffic,2023,Oceania,0.5436323436631806,0.24296003764838425,0.13998671177661626,0.9318077524162797,0.046605283058562735,0.993481347560199
air-traffic,2022,Oceania,0.10582710650779262,0.1268783358047693,-0.09066272278090605,0.32137638776054717,-0.14711291876160126,0.35027952752229335
air-traffic,2021,Oceania,0.4008757390343567,0.08437175161307169,0.2620188061128397,0.5345575680682436,0.2423295726436554,0.5735731465181353
air-traffic,2020,Oceania,0.44795903760933686,0.09710324149687628,0.2896440934850201,0.6073109033713954,0.2528289206469751,0.6362287081979686
air-traffic,2019,Oceania,0.46065848143105764,0.11472260413171927,0.27036744894680287,0.6458055724305439,0.23961182604247033,0.6900954702924158
air-traffic,2018,Oceania,0.6551521928336339,0.11810478722323824,0.4617684428747943,0.8498439201247553,0.41268530974301587,0.8782005598669046
air-traffic,2017,Oceania,0.5459586303398681,0.12304675259957071,0.34384324798471927,0.7478824187584183,0.30104989741365396,0.7850094564504996
air-traffic,2023,South-eastern Asia,0.4602906683478073,0.2498409103035596,0.0530379981254191,0.8760719418257125,-0.04593222920849224,0.9366565420542967
air-traffic,2022,South-eastern Asia,0.08695298638118566,0.11390740300276918,-0.10616353713161049,0.2671236056076707,-0.1362051950829536,0.30104199046867514
air-traffic,2021,South-eastern Asia,0.4664610742658573,0.08270560313142962,0.33306014991818195,0.6033668953842048,0.3099514033197027,0.6346589559249629
air-traffic,2020,South-eastern Asia,0.21214314194533573,0.0933606982475407,0.06032919560983139,0.3658965505465785,0.0386850993096358,0.4015131327021896
air-traffic,2019,South-eastern Asia,0.5109344782719849,0.10558386215864389,0.34163109519509033,0.6861302966085053,0.3000552749454981,0.7156477182020292
air-traffic,2018,South-eastern Asia,0.6579947723689552,0.12227961165456637,0.4622691439675451,0.859433074228291,0.4263863678984842,0.8968687038009947
air-traffic,2017,South-eastern Asia,0.6610720092448781,0.13205406896827748,0.44383550719309267,0.8730419510647413,0.3967401596108816,0.9137349810123123
air-traffic,2023,Europe,0.5003469819498889,0.24500377479492613,0.09267191220140351,0.894978103436237,0.03457014137833192,0.990424580315769
air-traffic,2022,Europe,0.3315925718359206,0.13747234158058466,0.10511099402469261,0.5575865718886542,0.05148118213185173,0.5967513301688999
air-traffic,2021,Europe,0.41181654449292543,0.11040979166047848,0.22916751894461743,0.5907954716015874,0.19358535978025815,0.622658619347189
air-traffic,2020,Europe,0.7111987714715433,0.1176506332691109,0.5157064419986462,0.8998578785573386,0.4798115674263903,0.9362221314659745
air-traffic,2019,Europe,0.47337837630002183,0.12104488940340821,0.27072799636852146,0.6672215302431078,0.24571623751439517,0.7197910222547146
air-traffic,2018,Europe,0.573015005306848,0.12450733113408494,0.35542421120163004,0.7651262225600863,0.3383948323625886,0.8233674664742708
air-traffic,2017,Europe,0.6106518751201147,0.1345180643847018,0.3936893106219292,0.8347476386208071,0.34863902998626645,0.8703294747143779
air-traffic,2023,Southern Asia,0.509952897317175,0.18027173076214323,0.21256113894240075,0.7991326427106658,0.14109462426384417,0.8440290466275777
air-traffic,2022,Southern Asia,0.4978626941140459,0.1370396627710163,0.2873214668349912,0.7355768209393709,0.23954055654337097,0.7717887555264618
air-traffic,2021,Southern Asia,0.9877625481846629,0.13037392126940348,0.7761991264046447,1.2028950713677702,0.7476570811976252,1.2564634630698719
air-traffic,2020,Southern Asia,0.7313374641801422,0.10871319375573057,0.5563451685804878,0.9117616818853659,0.525893058446825,0.9486502976498944
air-traffic,2019,Southern Asia,0.3296291001962461,0.10367469217789206,0.16025624697873625,0.49586085845253475,0.1156379887971516,0.5213049948845078
air-traffic,2018,Southern Asia,0.48028020835361857,0.10041402745048202,0.30868859869536663,0.6413072832993373,0.28895674505413776,0.6771833377963185
air-traffic,2017,Southern Asia,0.5407048620659716,0.10555924171451023,0.36673930631905555,0.7142211615844365,0.32252551036390825,0.7325979826192456
air-traffic,2023,Northern America,0.5087687129717636,0.23953852917865232,0.11649259805487655,0.9019724004357249,0.046013119415803286,0.981791760308666
air-traffic,2022,Northern America,0.41317881396353284,0.1335737899602833,0.18613027025105067,0.6282743091820978,0.162180563598959,0.6880561816335334
air-traffic,2021,Northern America,0.569574306697435,0.11335478606016597,0.38455324178873357,0.7555142779070224,0.35230933011921706,0.7938216878410952
air-traffic,2020,Northern America,0.5528743921351686,0.10702664138807444,0.3810572657493878,0.7332041508483083,0.3488220893531589,0.7672864881030494
air-traffic,2019,Northern America,0.36229778534408613,0.1191015731954994,0.1659733037982964,0.5545904069056538,0.12628327273626153,0.5915947311626376
air-traffic,2018,Northern America,0.40071653767470344,0.11572789740237814,0.2200053199197539,0.602709523343724,0.1795148191203883,0.6336205276151675
air-traffic,2017,Northern America,0.5465729599968836,0.12516489992604887,0.33569335375798076,0.7476479922215237,0.29553040699721794,0.7856707159450849
air-traffic,2023,Japan-Korea,0.27916358279069214,0.2306678892385262,-0.10449729200499655,0.6601812594125064,-0.1799709578029723,0.7370465223139651
air-traffic,2022,Japan-Korea,-0.03180741046272787,0.09973375421621214,-0.1932929452022986,0.13550772201252864,-0.22685471466861287,0.15739916858868258
air-traffic,2021,Japan-Korea,0.3391073941857178,0.08381847485256602,0.1996309591095164,0.4751046186234552,0.17809532639039302,0.5065455719619301
air-traffic,2020,Japan-Korea,0.3868703941272488,0.09568215239044457,0.23456879230540906,0.5453911772271843,0.19831722289824974,0.5729503909268442
