Summary Statistic	joint	prior	likelihood	geography.clock.rate	H.nonZeroRates	H.indicators1	H.indicators2	H.indicators3	H.indicators4	H.indicators5	H.indicators6	H.indicators7	H.indicators8	H.indicators9	H.indicators10	H.indicators11	H.indicators12	H.indicators13	H.indicators14	H.indicators15	H.indicators16	H.indicators17	H.indicators18	H.indicators19	H.indicators20	H.indicators21	H.indicators22	H.indicators23	H.indicators24	geography.coefficients.Pop_size_origin	geography.coefficients.Pop_size_destination	geography.coefficients.pop_density_origin	geography.coefficients.pop_density_destination	geography.coefficients.Age_prop_origin	geography.coefficients.Age_prop_destination	geography.coefficients.dis_mat	geography.coefficients.wgt_lati_origin	geography.coefficients.wgt_lati_destination	geography.coefficients.Temperature_origin	geography.coefficients.Temperature_destination	geography.coefficients.Precipitation_origin	geography.coefficients.Precipitation_destination	geography.coefficients.Relative_humidity_origin	geography.coefficients.Relative_humidity_destination	geography.coefficients.Air_flow	geography.coefficients.Within_connectivity_origin	geography.coefficients.Within_connectivity_destination	geography.coefficients.stringency_index_origin	geography.coefficients.stringency_index_destination	geography.coefficients.idvi_origin	geography.coefficients.idvi_destination	geography.coefficients.sample_n_origin	geography.coefficients.sample_n_destination	geography.coefficientsTimesIndicators1	geography.coefficientsTimesIndicators2	geography.coefficientsTimesIndicators3	geography.coefficientsTimesIndicators4	geography.coefficientsTimesIndicators5	geography.coefficientsTimesIndicators6	geography.coefficientsTimesIndicators7	geography.coefficientsTimesIndicators8	geography.coefficientsTimesIndicators9	geography.coefficientsTimesIndicators10	geography.coefficientsTimesIndicators11	geography.coefficientsTimesIndicators12	geography.coefficientsTimesIndicators13	geography.coefficientsTimesIndicators14	geography.coefficientsTimesIndicators15	geography.coefficientsTimesIndicators16	geography.coefficientsTimesIndicators17	geography.coefficientsTimesIndicators18	geography.coefficientsTimesIndicators19	geography.coefficientsTimesIndicators20	geography.coefficientsTimesIndicators21	geography.coefficientsTimesIndicators22	geography.coefficientsTimesIndicators23	geography.coefficientsTimesIndicators24	geography.branchRates
mean	-3931.3697	-474.9207	-3456.449	0.7182	2.2794	0.0458	0.714	0.0192	0.0551	0.0171	0.0167	0.0114	0.032	0.0578	0.0258	4.9994E-3	0.0151	5.4438E-3	0.0269	7.2214E-3	0.9619	0.0179	0.0123	0.0174	6.3326E-3	0.0168	9.3323E-3	0.1762	6.6659E-3	-0.4909	-0.3667	-0.0036	1.6755E-3	-0.002	7.7162E-3	0.0266	-0.0296	-0.0293	0.0275	0.2376	0.0155	3.379E-3	-0.4682	0.0369	0.9112	-0.0016	-0.0135	0.1714	-0.0154	0.0472	-0.0376	0.2399	0.0308	-0.0211	-0.262	4.8648E-4	-0.0065	-0.0003	1.522E-3	5.53E-4	-0.0036	-0.0072	3.2801E-3	9.1996E-4	-0.0006	-0.0001	-0.0108	-0.0002	0.8764	-0.0003	-0.001	2.5704E-3	8.523E-5	1.6336E-3	-0.0008	0.0486	1.2138E-4	0
stderr of mean	0.314	0.2612	0.4023	3.9412E-4	0.0192	4.0191E-3	0.0118	1.889E-3	4.5324E-3	1.9153E-3	2.0411E-3	1.7712E-3	2.8072E-3	5.3795E-3	2.2521E-3	8.6114E-4	1.8463E-3	8.7902E-4	4.4189E-3	1.0857E-3	2.3012E-3	2.2457E-3	1.5098E-3	2.0533E-3	9.5411E-4	2.5949E-3	1.1897E-3	7.9455E-3	1.0109E-3	7.7482E-3	8.3064E-4	0.0203	0.0197	0.0202	0.0226	0.0202	0.0195	0.0194	0.0207	0.0218	0.0197	0.021	7.3462E-3	0.0206	9.096E-4	0.0216	0.0205	0.0211	0.0207	0.0199	0.0208	0.012	0.0204	1.8052E-3	4.386E-3	3.2465E-4	6.6715E-4	5.3268E-4	2.3685E-4	2.0511E-4	6.6188E-4	9.6567E-4	4.0086E-4	3.121E-4	3.5634E-4	4.5135E-5	1.9238E-3	2.6182E-4	2.2832E-3	3.2507E-4	1.5417E-4	4.8067E-4	5.6802E-5	7.8762E-4	3.121E-4	2.3903E-3	2.3782E-4	0
stdev	25.2971	21.4738	32.2688	0.0342	0.8721	0.209	0.4519	0.1373	0.2282	0.1297	0.128	0.1064	0.176	0.2333	0.1585	0.0705	0.122	0.0736	0.1618	0.0847	0.1915	0.1325	0.1104	0.1309	0.0793	0.1284	0.0962	0.381	0.0814	0.3605	0.0562	1.9111	1.8723	1.9122	1.9023	1.9201	1.8335	1.8382	1.8979	1.7113	1.868	1.9663	0.4003	1.9575	0.0663	1.8903	1.9425	1.8171	1.9612	1.889	1.9767	1.0864	1.9323	0.1004	0.1721	0.0272	0.0306	0.0505	0.0179	0.0116	0.0431	0.0337	0.0269	0.0275	0.0175	4.1671E-3	0.0709	0.0246	0.1861	0.0248	0.0104	0.0399	4.5574E-3	0.0253	0.0291	0.1188	0.0223	0
variance	639.9455	461.1227	1041.277	1.1724E-3	0.7605	0.0437	0.2042	0.0189	0.0521	0.0168	0.0164	0.0113	0.031	0.0544	0.0251	4.975E-3	0.0149	5.4148E-3	0.0262	7.1701E-3	0.0367	0.0176	0.0122	0.0171	6.2932E-3	0.0165	9.2462E-3	0.1452	6.6222E-3	0.1299	3.1529E-3	3.6523	3.5056	3.6566	3.6189	3.687	3.3619	3.3789	3.6019	2.9285	3.4893	3.8664	0.1603	3.8317	4.3959E-3	3.5731	3.7732	3.302	3.8462	3.5683	3.9073	1.1803	3.7336	0.0101	0.0296	7.4199E-4	9.368E-4	2.5543E-3	3.2055E-4	1.3395E-4	1.8612E-3	1.1376E-3	7.2501E-4	7.5397E-4	3.0455E-4	1.7365E-5	5.024E-3	6.0749E-4	0.0346	6.1287E-4	1.0746E-4	1.5915E-3	2.077E-5	6.3884E-4	8.4757E-4	0.0141	4.9537E-4	0
median	-3931.5726	-474.3683	-3456.2009	0.7176	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.5073	-0.3673	0.0111	-0.0925	-0.0103	0.1119	0.029	-0.126	-0.1315	0.0771	0.5575	-0.0117	1.8032E-3	-0.4774	5.8549E-3	0.9099	1.4112E-3	-0.0572	0.3524	-0.0011	0.0871	-0.0516	0.2999	0.135	-0	-0.3394	-0	0	-0	0	-0	0	-0	-0	-0	0	0	-0	-0	0.9067	0	0	0	0	-0	-0	0	0	0
value range	[-4014.1529, -3840.4424]	[-560.4543, -401.5185]	[-3584.4502, -3329.2369]	[0.5947, 0.8604]	[0, 7]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[-5.0762, 5.5881]	[-0.5868, -0.1229]	[-7.8095, 7.6006]	[-7.1472, 7.884]	[-7.1496, 7.6416]	[-7.2326, 7.4293]	[-7.5585, 7.9446]	[-7.5588, 6.8476]	[-7.2471, 6.9547]	[-8.0033, 7.8522]	[-7.1953, 6.9476]	[-6.8892, 8.0503]	[-7.8904, 7.8381]	[-5.8521, 4.5595]	[-7.8244, 8.1801]	[0.6977, 1.2002]	[-7.3782, 7.0417]	[-9.1659, 7.4309]	[-7.0754, 6.6455]	[-8.6391, 7.7551]	[-7.744, 7.3293]	[-7.865, 8.3685]	[-7.2553, 6.7836]	[-8.1139, 8.8576]	[-0.8972, -0]	[-0.5535, -0]	[-0.4749, 1.7507]	[-0.4748, 0.0434]	[-2.1647, 3.0574]	[-0.0325, 0.8002]	[-0.2016, 0.3311]	[-0.6495, 2.7757]	[-0.5332, 0.0211]	[-0.225, 0.383]	[-0.275, 0.93]	[-0.4194, 0.2888]	[-0.1419, 0.1297]	[-1.2992, 0.0818]	[-0.5035, 2.2179]	[0, 1.2002]	[-1.5594, 0.6693]	[-0.2074, 0.0385]	[-1.868, 1.4685]	[-0.1092, 0.1514]	[-0.4998, 0.4504]	[-2.5788, 0.5799]	[-0.0918, 2.8372]	[-0.1416, 1.9669]	[0, 0]
geometric mean	n/a	n/a	n/a	0.7174	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.9088	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95% HPD interval	[-3979.9994, -3880.9012]	[-519.2597, -433.1376]	[-3518.3098, -3392.412]	[0.65, 0.7877]	[1, 4]	[0, 0]	[0, 1]	[0, 0]	[0, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[1, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 1]	[0, 0]	[-0.7664, -0.228]	[-0.4784, -0.2556]	[-3.7726, 3.8496]	[-3.8109, 3.7491]	[-3.8473, 3.8151]	[-3.8693, 3.7131]	[-3.8854, 3.7815]	[-3.7457, 3.7124]	[-3.5646, 3.9303]	[-3.5872, 4.007]	[-3.6105, 3.4698]	[-3.9093, 3.6389]	[-3.7892, 3.8421]	[-0.8592, -0.1559]	[-3.8059, 3.8947]	[0.7784, 1.0396]	[-3.6974, 3.7651]	[-3.8909, 3.7554]	[-3.6252, 3.7773]	[-3.889, 3.7587]	[-3.8986, 3.6942]	[-4.0232, 3.7786]	[-2.5146, 2.8529]	[-3.8478, 3.8962]	[-0, -0]	[-0.4466, -0]	[0, 0]	[-0.0431, -0]	[-0, -0]	[0, -0]	[-0, 0]	[0, -0]	[-0.0508, 0]	[0, -0]	[0, -0]	[-0, 0]	[-0, -0]	[-0, -0]	[0, -0]	[0.7454, 1.081]	[-0, 0]	[0, 0]	[-0, 0]	[0, -0]	[0, 0]	[-0, 0]	[0, 0.3378]	[-0, 0]	n/a
auto-correlation time (ACT)	1387.2663	1331.7486	1398.9714	1192.7237	4343.882	3328.7538	6096.6107	1703.7612	3551.2398	1963.5907	2288.3818	2496.1007	2290.1261	4785.3111	1818.0439	1341.8121	2061.9651	1284.5638	6717.8877	1479.9946	1300.4114	2583.9302	1684.6596	2214.2613	1302.1678	3674.4031	1378.006	3914.7109	1389.2935	4159.3214	1969.9451	1016.6059	1000	1000	1275.1604	1000	1022.1087	1000	1073.8733	1456.8809	1000.8136	1030.1074	3031.253	1000	1694.2902	1174.1819	1000	1212.9646	1000	1000	1000	1098.0571	1000	2912.463	5844.5935	1278.7275	4277.0345	1000	1575.3836	2827.2579	2118.8339	7379.0881	1995.1258	1162.9616	3753.2046	1056.1042	6631.5307	1015.8105	1354.5453	1552.126	1991.2172	1306.8231	1398.4295	8741.3649	1034.534	3644.3177	1027.8277	n/a
effective sample size (ESS)	6488.3	6758.8	6434	7546.6	2072.1	2704	1476.4	5283	2534.6	4583.9	3933.3	3606	3930.4	1881	4950.9	6708.1	4365.3	7007	1339.9	6081.8	6921.7	3483.5	5342.9	4065	6912.3	2449.6	6531.9	2299.3	6478.8	2164.1	4569.2	8854	9001	9001	7058.7	9001	8806.3	9001	8381.8	6178.3	8993.7	8737.9	2969.4	9001	5312.5	7665.8	9001	7420.7	9001	9001	9001	8197.2	9001	3090.5	1540.1	7039	2104.5	9001	5713.5	3183.7	4248.1	1219.8	4511.5	7739.7	2398.2	8522.8	1357.3	8860.9	6645	5799.1	4520.4	6887.7	6436.5	1029.7	8700.5	2469.9	8757.3	n/a
