time	date	datetime	milliseconds	mean	median	upper	lower
2023.559	2023-07-23	2023-07-23T00:50:24	1690073424521	63.904434711304205	59.81766949793943	197.29235149633104	24.158617991164324
2023.039	2023-01-14	2023-01-14T05:38:24	1673674704522	31.7777688133	31.41196985587259	45.32799652036647	22.695359796348917
2022.519	2022-07-08	2022-07-08T10:26:24	1657275984523	23.79502214764936	23.640241757178888	33.3191723846085	16.971686436621663
2021.999	2021-12-30	2021-12-30T15:14:24	1640877264523	58.54316931265332	57.94463983718234	97.00526517070732	36.220132047964704
2021.479	2021-06-23	2021-06-23T20:02:24	1624478544523	11.747241303441776	11.75205983456135	16.30774081743929	8.351848604259313
2020.959	2020-12-15	2020-12-15T00:50:24	1607993424523	4.238796013382456	4.219867699283151	6.295477804039293	2.8786140930466027
2020.439	2020-06-08	2020-06-08T05:38:24	1591594704523	84.18816179843259	81.37171778007196	170.07159614635748	43.25973515335972
2019.919	2019-12-01	2019-12-01T10:26:24	1575195984523	55.57958422275786	55.1927437293233	80.4101988994139	38.8846786625384
2019.3990000000001	2019-05-25	2019-05-25T15:14:24	1558797264523	10.529335682095393	10.482647733985198	14.206354843373688	7.847723074717756
2018.8790000000001	2018-11-16	2018-11-16T20:02:24	1542398544524	21.367027280256274	21.154117829659878	32.53699340581841	14.7663947132624
2018.3590000000002	2018-05-11	2018-05-11T00:50:24	1525999824524	21.770382414465203	21.615811078474785	31.554292262921155	15.144963869073191
2017.8390000000002	2017-11-02	2017-11-02T05:38:24	1509601104524	37.839504758745896	37.486180114015426	60.201958800919336	24.293896154087523
2017.3190000000002	2017-04-26	2017-04-26T10:26:24	1493202384524	36.75775165473673	36.58199018444683	53.43648187691575	25.800104004791756
2016.7990000000002	2016-10-17	2016-10-17T15:14:24	1476717264524	40.92917217714014	39.955743545802086	74.22777715348953	23.211004258999793
2016.2790000000002	2016-04-10	2016-04-10T20:02:24	1460318544524	25.35091535022269	25.295534722051936	37.45136815092938	17.08481395418224
2015.7590000000002	2015-10-04	2015-10-04T00:50:24	1443919824524	10.884500225960524	10.842035695280618	15.424424068512286	7.536620922297727
2015.2390000000003	2015-03-28	2015-03-28T05:38:24	1427521104525	10.556748528001291	10.492839689115852	15.808021349487545	7.144182386540606
2014.7190000000003	2014-09-19	2014-09-19T10:26:24	1411122384525	19.37655095509735	19.100604913703524	31.662091725339476	12.210993432468232
2014.1990000000003	2014-03-13	2014-03-13T15:14:24	1394723664525	47.73267728978759	46.83651716715365	80.9444132193039	29.806768982062888
2013.6790000000003	2013-09-04	2013-09-04T20:02:24	1378324944525	17.988270223131664	17.851037651204514	25.509976992222313	12.9711606646037
2013.1590000000003	2013-02-27	2013-02-27T00:50:24	1361926224525	31.275371216204203	30.887520755257395	49.46174072716322	21.16356088084763
2012.6390000000004	2012-08-20	2012-08-20T05:38:24	1345441104525	33.54853879124349	33.128219899753496	52.956382308153245	22.568846024295468
2012.1190000000004	2012-02-12	2012-02-12T10:26:24	1329042384525	42.38131565640291	41.9193010176796	69.2203208724634	26.91824942753597
2011.5990000000004	2011-08-06	2011-08-06T15:14:24	1312643664525	13.671916343766329	13.559082249248103	19.29206822030291	10.014960787616632
2011.0790000000004	2011-01-28	2011-01-28T20:02:24	1296244944525	24.792175489843252	24.546985544487637	39.10454828603802	15.753490375750252
2010.5590000000004	2010-07-23	2010-07-23T00:50:24	1279846224525	5.018648945556828	5.046073627329564	7.757819598931116	3.151042410217603
2010.5590000000004	2010-07-23	2010-07-23T00:50:24	1279846224525	5.018648945556828	5.046073627329564	7.757819598931116	3.151042410217603
2010.0390000000004	2010-01-14	2010-01-14T05:38:24	1263447504525	5.018648945556828	5.046073627329564	7.757819598931116	3.151042410217603
2009.5190000000005	2009-07-08	2009-07-08T10:26:24	1247048784525	5.018648945556828	5.046073627329564	7.757819598931116	3.151042410217603
2008.9990000000005	2008-12-29	2008-12-29T15:14:24	1230563664525	5.018648945556828	5.046073627329564	7.757819598931116	3.151042410217603
2008.4790000000005	2008-06-22	2008-06-22T20:02:24	1214164944525	5.018648945556828	5.046073627329564	7.757819598931116	3.151042410217603
2007.9590000000005	2007-12-16	2007-12-16T00:50:24	1197766224525	5.018648945556828	5.046073627329564	7.757819598931116	3.151042410217603
2007.4390000000005	2007-06-09	2007-06-09T05:38:24	1181367504526	5.018648945556828	5.046073627329564	7.757819598931116	3.151042410217603
