time	date	datetime	milliseconds	mean	median	upper	lower
2020.216	2020-03-18	2020-03-18T20:09:36	1584562176009	5.725455823904213	5.661283857239287	9.594269915937046	3.4472349865232155
2019.688222222222	2019-09-08	2019-09-08T04:49:36	1567918176009	13.02209445023211	12.943501042593196	19.41051508199257	8.93277272077997
2019.1604444444442	2019-02-27	2019-02-27T13:29:36	1551274176009	46.363679704911036	46.17580822490721	63.83968727995857	34.014720926786076
2018.6326666666664	2018-08-18	2018-08-18T22:09:36	1534630176009	44.72339370147496	44.387839959842275	64.16356360074052	31.61218757607873
2018.1048888888886	2018-02-07	2018-02-07T06:49:36	1517986176009	51.95137171958624	51.6617201326918	68.52292736268717	40.59762987913641
2017.5771111111108	2017-07-29	2017-07-29T15:29:36	1501342176009	15.647398692382351	15.625742734704938	21.22624335440436	11.763885666529843
2017.049333333333	2017-01-18	2017-01-18T00:09:36	1484698176009	11.3987307181332	11.374508065159214	15.222665174181861	8.34102907600097
2016.521555555555	2016-07-08	2016-07-08T08:49:36	1467967776009	27.800516921954408	27.554626089957566	39.79681562295956	19.95354788656419
2015.9937777777773	2015-12-28	2015-12-28T17:29:36	1451323776010	33.956428903572295	33.77305286823679	45.59876787570029	25.997261398151757
2015.4659999999994	2015-06-19	2015-06-19T02:09:36	1434679776010	51.28878590030927	50.894582623386135	75.05983850289387	36.52065582866286
2014.9382222222216	2014-12-08	2014-12-08T10:49:36	1418035776010	27.76764868202788	27.744331214483562	37.55071045059395	20.88259081238584
2014.4104444444438	2014-05-29	2014-05-29T19:29:36	1401391776010	25.566256401643308	25.428475687119086	36.44438557553553	18.237177480819547
2013.882666666666	2013-11-18	2013-11-18T04:09:36	1384747776010	12.14901564543839	12.13074382055705	16.30553810723392	9.277087548145216
2013.3548888888881	2013-05-09	2013-05-09T12:49:36	1368103776010	40.27618065387383	39.99456074627297	61.03068314496618	27.728899707081194
2012.8271111111103	2012-10-27	2012-10-27T21:29:36	1351373376010	13.955739962770346	13.93910010343713	19.521772687115217	10.266810547159295
2012.2993333333325	2012-04-18	2012-04-18T06:09:36	1334729376010	9.746315474062733	9.698664008302385	13.547136771682299	7.025059309143288
2011.7715555555546	2011-10-08	2011-10-08T14:49:36	1318085376010	5.4205117103949	5.417087267069321	8.16136018990376	3.6306315776687774
2011.2437777777768	2011-03-29	2011-03-29T23:29:36	1301441376010	9.564940820997482	9.476839905499816	16.83201483069641	5.805135278038489
2010.715999999999	2010-09-18	2010-09-18T08:09:36	1284797376010	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2010.715999999999	2010-09-18	2010-09-18T08:09:36	1284797376010	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2010.1882222222212	2010-03-09	2010-03-09T16:49:36	1268153376010	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2009.6604444444433	2009-08-29	2009-08-29T01:29:36	1251509376010	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2009.1326666666655	2009-02-17	2009-02-17T10:09:36	1234865376011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2008.6048888888877	2008-08-07	2008-08-07T18:49:36	1218134976011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2008.0771111111098	2008-01-28	2008-01-28T03:29:36	1201490976011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2007.549333333332	2007-07-19	2007-07-19T12:09:36	1184846976011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2007.0215555555542	2007-01-07	2007-01-07T20:49:36	1168202976011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2006.4937777777764	2006-06-29	2006-06-29T05:29:36	1151558976011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2005.9659999999985	2005-12-18	2005-12-18T14:09:36	1134914976011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2005.4382222222207	2005-06-08	2005-06-08T22:49:36	1118270976011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
2004.9104444444429	2004-11-27	2004-11-27T07:29:36	1101540576011	3.901294168146965	3.9050556929146145	6.495936692020645	2.4073287325110555
