treeId,startLocation,endLocation,time,descendantTaxa,descendantTaxaSameState
1005000,NorthChina,SouthChina,0.9660847540327143,1,1
1005000,SoutheasternAsia,Japan/Korea,0.9219023885148224,1,1
1005000,Europe,NorthernAmerica,0.5486819973141605,1,1
1005000,SouthernAsia,Europe,0.6623480432664675,1,1
1005000,Europe,NorthernAmerica,0.6132283610751166,1,1
1005000,SouthernAmerica,Europe,0.9795214439806343,1,1
1005000,NorthernAmerica,Japan/Korea,0.6729808206167421,1,1
1005000,WesternAsia,Africa,0.9302393637408469,1,1
1005000,SoutheasternAsia,Japan/Korea,0.7262279682177512,1,1
1005000,NorthernAmerica,Europe,0.5308450116528683,1,1
1005000,NorthChina,Russia,0.4023167434255614,1,1
1005000,NorthernAmerica,Europe,0.5596505297513321,1,1
1005000,Europe,NorthernAmerica,1.3179575606681668,1,1
1005000,SouthChina,NorthChina,0.6461640871245596,1,1
1005000,SouthChina,NorthChina,0.728850310740977,1,1
1005000,WesternAsia,Africa,3.722784553145469,1,1
1005000,Russia,WesternAsia,3.75202699660484,1,1
1005000,WesternAsia,NorthernAmerica,0.5543750948458347,1,1
1005000,NorthernAmerica,SouthernAmerica,0.9249242000501643,1,1
1005000,SouthernAsia,SoutheasternAsia,0.8543807020161873,1,1
1005000,SouthernAsia,Oceania,0.5975763818352939,1,1
1005000,SouthernAsia,Oceania,0.4808559713110083,1,1
1005000,SouthernAsia,Oceania,0.5835680745977532,1,1
1005000,Oceania,SouthernAsia,0.60112002534753,1,1
1005000,NorthernAmerica,SouthernAmerica,0.8814808987100179,1,1
1005000,Europe,WesternAsia,0.8397268241530128,1,1
1005000,Europe,Russia,0.48447734706581114,1,1
1005000,SouthernAmerica,NorthernAmerica,0.6408758634901142,1,1
1005000,NorthernAmerica,Oceania,1.083258962132555,1,1
1005000,Japan/Korea,SoutheasternAsia,0.31839642546798624,1,1
1005000,NorthernAmerica,Japan/Korea,0.32028907286781994,1,1
1005000,SouthernAmerica,NorthernAmerica,0.34829437962740895,1,1
1005000,Europe,NorthernAmerica,0.6242738006866302,1,1
1005000,NorthernAmerica,Europe,0.6987605766731776,1,1
1005000,Europe,NorthernAmerica,0.6693537553189591,1,1
1005000,Russia,Europe,0.7000468281722164,1,1
1005000,WesternAsia,SouthernAsia,0.6846788643374193,1,1
1005000,Europe,SouthernAmerica,0.6013928598986633,1,1
1005000,Russia,Europe,0.6855867125880233,1,1
1005000,SouthernAsia,Oceania,0.6941065426342594,1,1
1005000,SoutheasternAsia,Oceania,0.4215400843059207,1,1
1005000,SoutheasternAsia,WesternAsia,0.8129363085411435,1,1
1005000,Europe,NorthernAmerica,0.5766741520650407,1,1
1005000,SouthernAmerica,NorthernAmerica,0.813575785719038,1,1
1005000,Europe,NorthernAmerica,0.6386790748557755,1,1
1005000,Europe,NorthernAmerica,0.49934556064238866,1,1
1005000,SouthernAsia,Africa,0.3033750984808339,1,1
1005000,SouthernAsia,SoutheasternAsia,0.5255764076825362,1,1
1005000,Oceania,SoutheasternAsia,1.010092599420702,1,1
1005000,SouthernAsia,Oceania,1.1608165738508716,1,1
1005000,Oceania,SoutheasternAsia,0.4073396912617331,1,1
1005000,NorthChina,SoutheasternAsia,0.5599890691320892,1,1
1005000,Europe,SoutheasternAsia,0.5421840190184711,1,1
1005000,SouthernAsia,WesternAsia,0.26119967174869885,1,1
1005000,Oceania,Japan/Korea,0.7477172772727503,1,1
1005000,NorthernAmerica,Japan/Korea,0.41779293272303986,1,1
1005000,Europe,NorthernAmerica,0.8264637242315791,1,1
1005000,SoutheasternAsia,Japan/Korea,0.44788966529979346,1,1
1005000,Europe,SoutheasternAsia,0.5004374347604048,1,1
1005000,Europe,SouthernAmerica,3.4693890529275238,1,1
