"virus","tree_id","season","tmrca"
"by",6,"N_Hemisphere_2014",2006.91916363615
"by",6,"N_Hemisphere_2015",2006.91916363615
"by",6,"S_Hemisphere_2012.5",2006.91916363615
"by",6,"S_Hemisphere_2013.5",2006.91916363615
"by",6,"S_Hemisphere_2014.5",2006.91916363615
"by",6,"N_Hemisphere_2016",2011.99063359489
"by",6,"N_Hemisphere_2017",2011.99063359489
"by",6,"S_Hemisphere_2011.5",2006.91916363615
"by",6,"S_Hemisphere_2019.5",2016.71377496104
"by",6,"S_Hemisphere_2015.5",2011.99063359489
"by",6,"S_Hemisphere_2020.5",2016.71377496104
"by",6,"N_Hemisphere_2019",2016.22349745129
"by",6,"S_Hemisphere_2016.5",2006.91916363615
"by",6,"N_Hemisphere_2020",2016.71377496104
"by",6,"S_Hemisphere_2017.5",2014.21611388341
"by",6,"N_Hemisphere_2018",2014.21611388341
"by",6,"S_Hemisphere_2018.5",2014.22744569837
"by",7,"N_Hemisphere_2012",2005.65126560477
"by",7,"N_Hemisphere_2013",2005.65126560477
"by",7,"N_Hemisphere_2011",2005.65126560477
"by",7,"N_Hemisphere_2014",2005.65126560477
"by",7,"N_Hemisphere_2015",2005.65126560477
"by",7,"S_Hemisphere_2012.5",2005.65126560477
"by",7,"S_Hemisphere_2013.5",2005.65126560477
"by",7,"S_Hemisphere_2014.5",2005.65126560477
"by",7,"N_Hemisphere_2016",2011.81994768621
"by",7,"N_Hemisphere_2017",2011.81994768621
"by",7,"S_Hemisphere_2011.5",2005.65126560477
"by",7,"S_Hemisphere_2019.5",2016.55616359626
"by",7,"S_Hemisphere_2015.5",2011.81994768621
"by",7,"S_Hemisphere_2020.5",2016.55616359626
"by",7,"N_Hemisphere_2019",2015.95994521789
"by",7,"S_Hemisphere_2016.5",2005.65126560477
"by",7,"N_Hemisphere_2020",2016.55616359626
"by",7,"S_Hemisphere_2017.5",2014.09957662702
"by",7,"N_Hemisphere_2018",2014.09957662702
"by",7,"S_Hemisphere_2018.5",2014.09957662702
"by",8,"N_Hemisphere_2012",2005.15967666052
"by",8,"N_Hemisphere_2013",2005.15967666052
"by",8,"N_Hemisphere_2011",2005.15967666052
"by",8,"N_Hemisphere_2014",2005.15967666052
"by",8,"N_Hemisphere_2015",2005.15967666052
"by",8,"S_Hemisphere_2012.5",2005.15967666052
"by",8,"S_Hemisphere_2013.5",2005.15967666052
"by",8,"S_Hemisphere_2014.5",2005.15967666052
"by",8,"N_Hemisphere_2016",2011.94734570159
"by",8,"N_Hemisphere_2017",2011.94734570159
"by",8,"S_Hemisphere_2011.5",2005.15967666052
"by",8,"S_Hemisphere_2019.5",2016.58829694369
"by",8,"S_Hemisphere_2015.5",2011.94734570159
"by",8,"S_Hemisphere_2020.5",2016.59915350725
"by",8,"N_Hemisphere_2019",2016.06741677817
"by",8,"S_Hemisphere_2016.5",2005.15967666052
"by",8,"N_Hemisphere_2020",2016.59915350725
"by",8,"S_Hemisphere_2017.5",2014.01140151176
"by",8,"N_Hemisphere_2018",2014.01140151176
"by",8,"S_Hemisphere_2018.5",2014.01140151176
"by",9,"N_Hemisphere_2012",2005.95971963184
"by",9,"N_Hemisphere_2013",2005.95971963184
"by",9,"N_Hemisphere_2011",2005.95971963184
"by",9,"N_Hemisphere_2014",2005.95971963184
"by",9,"N_Hemisphere_2015",2005.95971963184
"by",9,"S_Hemisphere_2012.5",2005.95971963184
"by",9,"S_Hemisphere_2013.5",2005.95971963184
"by",9,"S_Hemisphere_2014.5",2005.95971963184
"by",9,"N_Hemisphere_2016",2011.84838912427
"by",9,"N_Hemisphere_2017",2011.84838912427
"by",9,"S_Hemisphere_2011.5",2005.95971963184
"by",9,"S_Hemisphere_2019.5",2016.54765426577
"by",9,"S_Hemisphere_2015.5",2011.84838912427
"by",9,"S_Hemisphere_2020.5",2016.54765426577
